Date,Close,Trade_Signal
2011-01-03,354.62042236328125,0.0
2011-01-04,351.7835998535156,0.0
2011-01-05,347.19073486328125,0.0
2011-01-06,347.2807922363281,0.0
2011-01-07,333.3445129394531,0.0
2011-01-10,328.05377197265625,0.0
2011-01-11,330.935546875,0.0
2011-01-12,338.275146484375,0.0
2011-01-13,332.1738586425781,0.0
2011-01-14,333.0068664550781,0.0
2011-01-17,332.1513366699219,0.0
2011-01-18,336.0912780761719,0.0
2011-01-19,338.09503173828125,0.0
2011-01-20,342.3501892089844,0.0
2011-01-21,346.8079833984375,0.0
2011-01-24,356.444091796875,0.0
2011-01-25,347.3033752441406,0.0
2011-01-27,330.3050842285156,0.0
2011-01-28,314.2525939941406,0.0
2011-01-31,321.2093811035156,0.0
2011-02-01,317.80975341796875,0.0
2011-02-02,315.44580078125,0.0
2011-02-03,317.74224853515625,0.0
2011-02-04,301.46453857421875,0.0
2011-02-07,301.32940673828125,0.0
2011-02-08,282.6426696777344,0.0
2011-02-09,295.02545166015625,0.0
2011-02-10,293.85467529296875,0.0
2011-02-11,299.5282897949219,0.0
2011-02-14,306.23748779296875,0.0
2011-02-15,300.81158447265625,0.0
2011-02-16,295.2955627441406,0.0
2011-02-17,301.4870300292969,0.0
2011-02-18,292.5038757324219,0.0
2011-02-21,293.13427734375,0.0
2011-02-22,288.0685729980469,0.0
2011-02-23,288.4513854980469,0.0
2011-02-24,277.3743591308594,0.0
2011-02-25,268.00848388671875,0.0
2011-02-28,277.2617492675781,0.0
2011-03-01,299.12298583984375,0.0
2011-03-03,302.5226745605469,0.0
2011-03-04,304.4588928222656,0.0
2011-03-07,297.9748229980469,0.0
2011-03-08,299.30316162109375,0.0
2011-03-09,301.284423828125,0.0
2011-03-10,301.62213134765625,0.0
2011-03-11,295.5207214355469,0.0
2011-03-14,297.8397216796875,0.0
2011-03-15,290.16241455078125,0.0
2011-03-16,297.1867370605469,0.0
2011-03-17,295.4757385253906,0.0
2011-03-18,284.17364501953125,0.0
2011-03-21,288.67645263671875,0.0
2011-03-22,294.53021240234375,0.0
2011-03-23,290.9278869628906,0.0
2011-03-24,299.6633605957031,0.0
2011-03-25,303.2431335449219,0.0
2011-03-28,305.26947021484375,0.0
2011-03-29,309.0517272949219,0.0
2011-03-30,319.678466796875,0.0
2011-03-31,315.3557434082031,0.0
2011-04-01,320.1737060546875,0.0
2011-04-04,335.0105285644531,0.0
2011-04-05,330.2601013183594,0.0
2011-04-06,327.1982116699219,0.0
2011-04-07,330.1925354003906,0.0
2011-04-08,328.39141845703125,0.0
2011-04-11,319.70098876953125,0.0
2011-04-13,328.25634765625,0.0
2011-04-15,326.2076110839844,0.0
