Date,TATAMOTORS.NS(close)
2011-01-03,245.7106170654297
2011-01-04,243.82333374023438
2011-01-05,240.89385986328125
2011-01-06,236.8000946044922
2011-01-07,223.5047607421875
2011-01-10,220.9696044921875
2011-01-11,217.4673614501953
2011-01-12,228.72525024414062
2011-01-13,232.2368621826172
2011-01-14,222.0399932861328
2011-01-17,221.3733367919922
2011-01-18,225.2605438232422
2011-01-19,223.9835968017578
2011-01-20,224.3497772216797
2011-01-21,222.9789276123047
2011-01-24,223.14793395996094
2011-01-25,218.96026611328125
2011-01-27,224.56573486328125
2011-01-28,216.0120086669922
2011-01-31,215.40170288085938
2011-02-01,200.75425720214844
2011-02-02,209.2422637939453
2011-02-03,217.2326202392578
2011-02-04,216.11529541015625
2011-02-07,215.27024841308594
2011-02-08,208.86668395996094
2011-02-09,201.60870361328125
2011-02-10,207.0357666015625
2011-02-11,214.58482360839844
2011-02-14,227.08209228515625
2011-02-15,232.35891723632812
2011-02-16,232.56544494628906
2011-02-17,234.4715118408203
2011-02-18,226.38726806640625
2011-02-21,218.16217041015625
2011-02-22,213.48626708984375
2011-02-23,214.81015014648438
2011-02-24,198.00318908691406
2011-02-25,208.57562255859375
2011-02-28,203.32696533203125
2011-03-01,214.42520141601562
2011-03-03,220.93203735351562
2011-03-04,220.7911834716797
2011-03-07,211.81497192382812
2011-03-08,218.23728942871094
2011-03-09,218.4532470703125
2011-03-10,218.77249145507812
2011-03-11,218.32179260253906
2011-03-14,220.8005828857422
2011-03-15,214.47213745117188
2011-03-16,219.0541534423828
2011-03-17,214.0684051513672
2011-03-18,209.84317016601562
2011-03-21,210.54739379882812
2011-03-22,213.34542846679688
2011-03-23,213.49566650390625
2011-03-24,217.32652282714844
2011-03-25,222.31227111816406
2011-03-28,229.85194396972656
2011-03-29,232.75328063964844
2011-03-30,234.54664611816406
2011-03-31,234.42457580566406
2011-04-01,233.19456481933594
2011-04-04,235.52313232421875
2011-04-05,240.4337615966797
2011-04-06,243.87965393066406
2011-04-07,242.41494750976562
2011-04-08,235.3541259765625
2011-04-11,229.0162811279297
2011-04-13,234.5184783935547
2011-04-15,232.07723999023438
2011-04-18,226.443603515625
2011-04-19,225.58917236328125
2011-04-20,235.06304931640625
2011-04-21,233.5607452392578
2011-04-25,233.3354034423828
2011-04-26,236.85643005371094
2011-04-27,234.64053344726562
2011-04-28,231.4105987548828
2011-04-29,232.26502990722656
2011-05-02,230.10545349121094
2011-05-03,218.41567993164062
2011-05-04,217.70208740234375
2011-05-05,213.5426025390625
2011-05-06,225.33566284179688
2011-05-09,220.9977569580078
2011-05-10,222.76295471191406
2011-05-11,227.53277587890625
2011-05-12,222.90382385253906
2011-05-13,227.4200897216797
2011-05-16,228.30271911621094
2011-05-17,223.27940368652344
2011-05-18,215.7960662841797
2011-05-19,216.11529541015625
2011-05-20,219.45791625976562
2011-05-23,212.0966339111328
2011-05-24,210.66944885253906
2011-05-25,212.9134979248047
2011-05-26,218.2842559814453
2011-05-27,204.4724578857422
2011-05-30,202.31289672851562
2011-05-31,205.68370056152344
2011-06-01,202.79176330566406
2011-06-02,196.83889770507812
2011-06-03,192.2568817138672
2011-06-06,192.2380828857422
2011-06-07,192.89537048339844
2011-06-08,193.14886474609375
2011-06-09,191.75926208496094
2011-06-10,191.4681854248047
2011-06-13,189.72177124023438
2011-06-14,184.78294372558594
2011-06-15,186.68899536132812
2011-06-16,184.71722412109375
2011-06-17,184.21018981933594
2011-06-20,174.8302001953125
2011-06-21,175.8066864013672
2011-06-22,175.75035095214844
2011-06-23,177.459228515625
2011-06-24,181.4872589111328
2011-06-27,183.60926818847656
2011-06-28,184.91439819335938
2011-06-29,187.25234985351562
2011-06-30,186.6983642578125
2011-07-01,186.79226684570312
2011-07-04,189.9752655029297
2011-07-05,190.78273010253906
2011-07-06,194.45399475097656
2011-07-07,198.20034790039062
2011-07-08,197.92808532714844
2011-07-11,197.7121124267578
2011-07-12,192.4634246826172
2011-07-13,196.36941528320312
2011-07-14,200.5758514404297
2011-07-15,193.99391174316406
2011-07-18,190.56678771972656
2011-07-19,188.48834228515625
2011-07-20,185.5957489013672
2011-07-21,187.15699768066406
2011-07-22,190.97865295410156
2011-07-25,192.78890991210938
2011-07-26,186.4003143310547
2011-07-27,183.4597930908203
2011-07-28,182.11888122558594
2011-07-29,181.6208038330078
2011-08-01,184.187744140625
2011-08-02,183.21078491210938
2011-08-03,177.7991180419922
2011-08-04,175.07894897460938
2011-08-05,170.4143829345703
2011-08-08,158.556640625
2011-08-09,152.11053466796875
2011-08-10,161.7174072265625
2011-08-11,162.63693237304688
2011-08-12,153.25035095214844
2011-08-16,153.54727172851562
2011-08-17,149.19879150390625
2011-08-18,144.06491088867188
2011-08-19,136.4598388671875
2011-08-22,141.18190002441406
2011-08-23,139.38119506835938
2011-08-24,134.2377166748047
2011-08-25,136.8238067626953
2011-08-26,133.80670166015625
2011-08-29,139.96543884277344
2011-08-30,142.19715881347656
2011-09-02,144.58212280273438
2011-09-05,144.2852020263672
2011-09-06,146.69891357421875
2011-09-07,147.33102416992188
2011-09-08,151.45921325683594
2011-09-09,146.52647399902344
2011-09-12,140.17616271972656
2011-09-13,133.7109375
2011-09-14,136.4885711669922
2011-09-15,144.8215789794922
2011-09-16,155.02227783203125
2011-09-19,154.8786163330078
2011-09-20,159.1887969970703
2011-09-21,157.895751953125
2011-09-22,148.12600708007812
2011-09-23,140.6550750732422
2011-09-26,140.55929565429688
2011-09-27,149.17962646484375
2011-09-28,149.4669647216797
2011-09-29,154.11236572265625
2011-09-30,149.4669647216797
2011-10-03,147.1203155517578
2011-10-04,140.5113983154297
2011-10-05,141.18190002441406
2011-10-07,152.4362030029297
2011-10-10,163.54685974121094
2011-10-11,169.29373168945312
2011-10-12,173.12498474121094
2011-10-13,168.43170166015625
2011-10-14,172.4545440673828
2011-10-17,180.16493225097656
2011-10-18,173.60389709472656
2011-10-19,179.06344604492188
2011-10-20,175.3758544921875
2011-10-21,170.6346893310547
2011-10-24,178.2971954345703
2011-10-25,183.70883178710938
2011-10-28,198.07608032226562
2011-10-31,190.07830810546875
2011-11-01,185.28924560546875
2011-11-02,183.99618530273438
2011-11-03,180.7396240234375
2011-11-04,180.16493225097656
2011-11-08,181.69744873046875
2011-11-09,176.95623779296875
2011-11-11,173.79547119140625
2011-11-14,170.29946899414062
2011-11-15,173.60389709472656
2011-11-16,174.609619140625
2011-11-17,167.76121520996094
2011-11-18,163.1158447265625
2011-11-21,154.7349395751953
2011-11-22,165.17514038085938
2011-11-23,161.24810791015625
2011-11-24,165.74981689453125
2011-11-25,164.60044860839844
2011-11-28,174.1785888671875
2011-11-29,169.96420288085938
2011-11-30,165.51036071777344
2011-12-01,175.2800750732422
2011-12-02,183.80462646484375
2011-12-05,183.5172882080078
2011-12-07,183.32574462890625
2011-12-08,180.59596252441406
