Date,M&M.NS_open,M&M.NS_high,M&M.NS_low,M&M.NS_close
2011-01-03,357.8624659280758,360.99193872661425,353.1119850886887,354.62042236328125
2011-01-04,354.4177444559813,356.6241421875,349.0593931528688,351.7835998535156
2011-01-05,351.7836273992247,355.27332098302503,344.55659005455425,347.19073486328125
2011-01-06,349.8699196987059,350.3202027356412,341.3145419969358,347.2807922363281
2011-01-07,344.10628806969225,344.8717746973949,329.62967803860533,333.3445129394531
2011-01-10,333.65980249088454,337.7123506992758,325.1269315999292,328.05377197265625
2011-01-11,328.4814986536888,334.53781142500617,326.90550791306106,330.935546875
2011-01-12,331.9936923442188,339.46840757835724,326.45521624116054,338.275146484375
2011-01-13,336.4965655430634,341.8999629102201,330.39523484593565,332.1738586425781
2011-01-14,330.1025349168268,339.24330398006884,328.5715888421058,333.0068664550781
2011-01-17,328.9543101993067,336.0012516430853,328.9543101993067,332.1513366699219
2011-01-18,333.18694691947104,338.59034349636704,332.03873064349983,336.0912780761719
2011-01-19,335.91116984446177,344.8267691238749,335.68602830971344,338.09503173828125
2011-01-20,338.34268664994016,344.3539542300543,337.71227940181853,342.3501892089844
2011-01-21,338.8154598879762,349.2394951878199,338.8154598879762,346.8079833984375
2011-01-24,347.2132882253776,358.7855694189479,347.2132882253776,356.444091796875
2011-01-25,356.19646712749346,359.64114409074153,345.1420217007562,347.3033752441406
2011-01-27,350.27515147061683,350.27515147061683,326.6803116291798,330.3050842285156
2011-01-28,330.9580864101762,330.98059506909425,304.8416659859718,314.2525939941406
2011-01-31,305.74217037035896,323.21314603776057,304.84160433097645,321.2093811035156
2011-02-01,322.402645767703,323.3032118173335,313.9148217431739,317.80975341796875
2011-02-02,322.8079455027026,324.1587947195088,311.8210275461061,315.44580078125
2011-02-03,312.5414572670108,320.55651762696806,312.5414572670108,317.74224853515625
2011-02-04,314.7478901618804,316.99930568521285,297.63713218455354,301.46453857421875
2011-02-07,305.74217490001297,307.00296187720846,298.6727258895056,301.32940673828125
2011-02-08,305.5170426109394,305.5170426109394,281.04417038250557,282.6426696777344
2011-02-09,283.45317210004066,300.2037065912928,278.68018289588343,295.02545166015625
2011-02-10,294.93536548799415,298.04232918637217,289.2618106718441,293.85467529296875
2011-02-11,292.03106603324267,301.4645014096717,286.5376073369252,299.5282897949219
2011-02-14,299.48324212057776,310.5151767188164,299.48324212057776,306.23748779296875
2011-02-15,305.33692360471935,306.1024102823097,294.80031678003314,300.81158447265625
2011-02-16,300.7890204099221,300.7890204099221,291.13044532079965,295.2955627441406
2011-02-17,297.18683212173084,303.26565368785714,292.03108537087815,301.4870300292969
2011-02-18,301.284395731114,305.20186399638084,290.95042110374703,292.5038757324219
2011-02-21,292.6839942756336,294.5076352048854,285.92974825388825,293.13427734375
2011-02-22,290.3875416324573,290.4325589429312,284.15110507847663,288.0685729980469
2011-02-23,288.63150975790785,292.1437129603693,285.25438600879033,288.4513854980469
2011-02-24,285.5920248031616,288.18115234375,272.89403728139587,277.3743591308594
2011-02-25,282.0347847722832,282.3274797556994,264.4062193922282,268.00848388671875
2011-02-28,267.2429528060213,289.3068191707981,263.4155474162131,277.2617492675781
2011-03-01,280.9765867739763,302.09487007442414,279.08539271253295,299.12298583984375
2011-03-03,295.8359818543387,304.7966260879148,294.2374824261746,302.5226745605469
2011-03-04,307.79097087583,311.5958681146,302.6802692923333,304.4588928222656
2011-03-07,301.6896583433191,301.6896583433191,291.8509842099887,297.9748229980469
2011-03-08,300.7215367993443,301.68965639145136,297.36694991997706,299.30316162109375
2011-03-09,299.59586213244404,303.37825132400957,298.9879909152391,301.284423828125
2011-03-10,299.393251931453,303.4908172542571,298.19999069233194,301.62213134765625
2011-03-11,299.2130474576016,299.79840984916194,293.35936857581254,295.5207214355469
2011-03-14,295.04796134092607,300.56392856935236,293.922253743288,297.8397216796875
2011-03-15,290.97291856130585,295.83597010755034,286.0198049065371,290.16241455078125
2011-03-16,292.6839077111446,298.35746169815576,291.3780762065823,297.1867370605469
2011-03-17,293.62956155790744,299.325653049186,293.62956155790744,295.4757385253906
2011-03-18,296.28627104484724,298.51517782060375,281.2468049560183,284.17364501953125
