Date,UNH UN Equity,GS UN Equity,MSFT UQ Equity,HD UN Equity,CAT UN Equity,AMGN UQ Equity,MCD UN Equity,CRM UN Equity,BA UN Equity,AAPL UQ Equity,CVX UN Equity,TRV UN Equity,WMT UN Equity,JNJ UN Equity,AXP UN Equity,PG UN Equity,JPM UN Equity,IBM UN Equity,MRK UN Equity,NKE UN Equity,MMM UN Equity,DIS UN Equity,KO UN Equity,CSCO UQ Equity,INTC UQ Equity,VZ UN Equity
2011-01-31,41.05,163.62,27.725,36.77,97.01,55.08,73.67,32.285,69.48,12.119,94.93,56.26,56.07,59.77,43.38,63.13,44.94,154.7366,31.6285,20.62,87.92,38.87,31.425,21.15,21.46,35.62
2011-02-01,42.07,165.33,28.01,36.99,98.01,55.71,73.47,32.91,70.29,12.323,96.22,56.81,56.33,60.63,43.6,62.92,45.93,156.2266,32.4199,20.8875,87.79,39.88,31.525,21.49,21.5,36.27
2011-02-02,41.95,165.05,27.95,36.56,99.09,55.63,73.64,33.77,71.0,12.297,96.48,56.71,55.86,60.62,43.72,62.79,45.45,155.9783,32.2482,20.9775,87.75,40.49,31.43,21.63,21.57,36.16
2011-02-03,43.04,164.64,27.65,36.7,98.93,55.45,73.83,33.5425,70.98,12.266,97.31,57.25,55.92,60.8,43.53,62.9,45.46,156.198,31.371,20.95,87.95,40.5,31.285,21.91,21.57,36.38
2011-02-04,42.49,164.83,27.77,36.8,99.59,55.2,74.05,34.4875,71.38,12.375,97.11,57.41,56.03,60.84,43.82,63.61,44.61,156.6469,31.3615,21.435,88.29,40.71,31.28,22.06,21.68,36.31
2011-02-07,41.81,167.13,28.19,36.6,100.47,54.88,73.45,34.225,71.93,12.567,97.66,57.18,56.07,60.87,44.82,64.55,45.5,157.4301,31.4664,21.625,88.79,40.94,31.26,22.05,21.69,36.02
2011-02-08,41.97,168.55,28.3,37.16,100.61,54.94,75.36,34.075,72.71,12.686,97.74,57.88,56.38,60.94,45.88,64.64,45.74,158.605,31.7238,21.6775,89.47,41.18,31.435,21.99,21.65,36.34
2011-02-09,42.07,166.01,27.97,37.17,99.79,54.425,75.93,33.6125,72.63,12.791,96.24,58.81,56.73,60.88,45.72,64.39,45.11,157.2678,31.5522,21.8125,90.78,43.36,31.575,22.04,21.46,36.68
2011-02-10,42.43,165.34,27.5,37.31,100.6,54.27,75.76,34.49,72.66,12.662,96.7,58.46,55.59,60.93,46.57,64.58,45.53,156.7329,31.5045,21.6975,90.46,43.31,31.77,18.92,21.8,36.42
2011-02-11,42.38,166.66,27.27,37.48,103.54,53.74,76.14,35.3775,72.14,12.745,96.45,58.99,55.69,60.7,46.75,64.73,46.57,156.5036,31.5331,21.5525,91.8,43.41,31.785,18.71,21.76,36.39
2011-02-14,42.46,167.52,27.23,37.58,103.26,53.86,76.24,35.555,72.26,12.828,96.95,58.84,54.8,60.7,46.52,64.54,46.54,155.9019,31.2947,21.4425,91.9,43.24,31.57,18.81,21.57,35.9
2011-02-15,42.03,167.91,26.96,37.69,103.0,53.84,76.15,35.6225,71.4,12.855,96.34,59.35,54.95,60.62,46.19,63.92,46.82,155.5389,31.2661,21.3875,92.0,43.09,31.61,18.67,21.45,36.46
2011-02-16,42.5,168.81,27.02,37.86,103.55,52.95,76.02,35.6875,72.48,12.969,96.66,59.46,54.55,60.52,46.86,63.76,47.94,156.0738,31.4282,21.4375,92.33,43.7,31.7,18.58,21.75,36.17
2011-02-17,42.59,167.16,27.21,38.18,103.36,52.41,75.98,35.235,72.24,12.796,97.17,59.78,54.75,60.79,45.78,64.0,47.82,156.8761,31.5617,21.51,92.73,43.7,32.275,18.68,21.97,36.37
2011-02-18,42.84,168.04,27.1,38.49,105.86,52.24,76.13,35.77,73.04,12.52,98.72,60.92,55.38,61.11,45.53,64.3,48.0,157.4492,31.3233,22.205,92.96,43.56,32.275,18.85,22.14,36.62
2011-02-21,42.84,168.04,27.1,38.49,105.86,52.24,76.13,35.77,73.04,12.52,98.72,60.92,55.38,61.11,45.53,64.3,48.0,157.4492,31.3233,22.205,92.96,43.56,32.275,18.85,22.14,36.62
2011-02-22,42.96,162.94,26.59,38.09,102.01,51.88,75.7,34.1875,70.93,12.093,100.32,60.53,53.67,60.65,44.29,64.07,46.01,154.6888,30.837,21.8075,92.0,42.65,31.88,18.59,21.81,36.0
2011-02-23,42.91,163.09,26.59,37.3,100.02,51.07,75.19,33.3425,70.23,12.236,102.27,60.42,53.03,60.39,43.44,64.15,45.96,152.9982,30.5986,21.5475,90.26,42.13,31.955,18.4,21.15,35.81
2011-02-24,42.75,163.44,26.76,37.14,100.57,50.95,75.21,33.58,70.76,12.243,102.03,59.33,52.09,60.25,43.56,63.05,45.91,153.5617,30.5414,21.63,90.03,42.42,31.94,18.35,21.285,35.58
2011-02-25,42.52,165.12,26.55,37.08,102.0,52.26,74.44,34.7075,72.3,12.434,102.1,59.6,51.75,59.64,43.53,62.84,46.68,155.004,30.694,21.995,90.25,42.95,32.155,18.64,21.86,35.97
2011-02-28,42.58,163.78,26.58,37.47,102.93,51.33,75.68,33.0675,72.01,12.615,103.75,59.93,51.98,61.44,43.57,63.05,46.69,154.6219,31.0563,22.2575,92.23,43.74,31.96,18.56,21.47,36.92
2011-03-01,42.45,161.31,26.18,36.76,99.86,51.94,74.89,32.0125,70.12,12.483,102.9,59.22,52.07,60.69,43.15,62.74,45.6,152.8358,30.9515,21.925,90.46,42.99,32.455,18.58,21.4,36.02
2011-03-02,43.56,161.69,26.07,36.66,100.97,51.39,74.69,32.0025,69.57,12.576,103.47,58.81,51.97,60.81,43.02,62.41,45.21,152.9791,31.0659,22.0825,91.32,43.29,32.215,18.5,21.49,36.34
2011-03-03,44.79,164.49,26.2,37.55,104.25,52.37,76.24,32.5175,71.71,12.841,104.19,59.05,52.01,61.05,44.3,62.55,46.08,156.1502,31.5617,22.46,92.81,44.07,32.785,18.53,21.79,36.36
2011-03-04,44.45,161.0,25.97,37.22,103.04,52.32,76.03,32.4925,71.8,12.857,103.75,59.18,52.07,61.06,43.72,62.03,45.52,154.6315,31.5236,22.47,92.19,43.55,32.605,18.42,21.58,36.08
2011-03-07,43.56,159.15,25.72,36.87,102.13,51.74,76.29,32.005,70.88,12.691,103.01,58.96,52.02,60.4,43.71,61.71,45.19,152.7594,31.3043,22.23,92.4,43.02,32.61,18.2,21.21,36.01
2011-03-08,43.83,161.3,25.91,37.04,104.13,52.53,75.55,31.83,72.04,12.703,103.7,59.06,52.44,60.71,45.24,62.05,46.42,155.004,31.4378,22.2975,93.75,43.2,32.82,18.23,21.14,36.48
2011-03-09,44.49,162.35,25.89,37.67,102.36,52.48,75.78,31.9275,72.09,12.588,102.14,59.4,52.67,60.4,45.05,62.0,46.56,158.4235,31.7429,22.2375,93.17,43.12,32.81,18.12,21.2,36.65
2011-03-10,43.79,160.27,25.4,37.07,98.39,51.84,76.68,31.8,71.29,12.38,99.08,58.52,52.65,59.61,44.02,61.49,45.53,154.7557,31.371,22.045,90.01,42.47,32.645,17.91,20.79,36.4
2011-03-11,43.59,160.68,25.68,37.14,100.02,53.53,76.73,31.9675,71.64,12.571,99.93,58.88,52.59,59.69,44.28,61.49,45.74,155.1473,31.2089,21.7925,91.61,42.93,32.405,17.95,20.87,35.85
2011-03-14,43.16,158.43,25.69,36.68,102.1,53.52,75.67,31.235,70.74,12.627,100.8,58.86,52.32,59.13,43.91,61.35,45.3,154.1539,30.8752,21.5525,91.02,42.24,31.97,17.85,20.84,35.18
