Date,KMB IB Equity,HCLT IB Equity,NTPC IB Equity,NEST IB Equity,BHARTI IB Equity,RELIANCE IB Equity,TCS IB Equity,ITC IB Equity,MM IB Equity,UTCEM IB Equity,TATA IB Equity,SUNP IB Equity,WPRO IB Equity,HUVR IB Equity,INFO IB Equity,MSIL IB Equity,BAF IB Equity,HDFCB IB Equity,ICICIBC IB Equity,APNT IB Equity,SBIN IB Equity,TTAN IB Equity,TTMT IB Equity,IIB IB Equity,JSTL IB Equity,LT IB Equity,AXSB IB Equity
2011-01-17,201.58,118.85,155.83,3674.65,313.28,450.24,569.08,114.5,368.7,1010.95,58.43,232.8,155.91,301.65,408.49,1273.7,61.72,207.53,181.95,266.36,251.64,171.48,233.54,227.0,97.55,747.18,245.51
2011-01-18,202.33,122.13,157.33,3638.8,310.48,448.8,600.28,117.4,373.25,1017.35,59.33,241.5,160.26,301.9,414.77,1278.55,63.35,210.88,183.82,265.91,255.64,174.09,237.23,236.75,101.26,748.2,255.84
2011-01-19,206.53,126.98,156.08,3654.3,310.08,442.89,596.78,117.03,375.55,1011.4,60.02,242.4,158.9,299.8,406.5,1272.3,61.22,207.76,186.09,267.54,250.87,172.96,236.18,233.95,104.92,734.2,256.2
2011-01-20,209.65,127.96,157.33,3698.15,306.7,437.59,605.92,114.5,380.2,1032.7,59.57,243.7,159.87,299.65,411.14,1263.95,60.61,211.8,191.05,267.17,253.49,173.97,236.6,240.75,104.02,738.56,257.15
2011-01-21,206.95,124.8,158.0,3625.15,303.36,445.14,606.3,112.63,385.53,1018.75,59.06,242.55,152.53,297.6,406.09,1253.95,60.95,209.86,193.79,266.09,259.79,175.11,235.12,232.65,101.42,732.91,256.88
2011-01-24,207.55,126.89,160.29,3681.5,300.88,438.17,602.9,112.63,394.1,1017.1,60.87,242.35,148.62,297.9,409.77,1291.05,62.31,214.83,197.07,262.23,269.31,178.82,235.08,238.6,103.4,738.91,264.42
2011-01-25,203.13,127.3,163.25,3625.8,303.59,432.53,595.88,111.97,385.25,1019.3,61.46,237.65,149.24,281.65,406.76,1288.2,60.28,208.7,188.78,259.99,267.93,179.7,230.59,231.55,101.63,742.04,259.62
2011-01-26,203.13,127.3,163.25,3625.8,303.59,432.53,595.88,111.97,385.25,1019.3,61.46,237.65,149.24,281.65,406.76,1288.2,60.28,208.7,188.78,259.99,267.93,179.7,230.59,231.55,101.63,742.04,259.62
2011-01-27,196.18,126.4,162.17,3556.75,293.49,425.52,599.58,111.87,366.5,1004.35,61.01,230.65,146.84,271.0,399.4,1272.4,59.28,205.21,184.9,260.03,265.36,178.11,236.32,221.75,96.56,733.24,259.78
2011-01-28,190.33,123.28,159.83,3494.95,294.8,412.66,591.28,112.2,348.43,996.55,59.65,224.48,146.38,272.45,396.69,1233.55,57.95,205.84,184.92,257.56,261.86,173.27,226.71,215.7,89.77,713.8,250.66
2011-01-31,192.25,123.45,157.42,3326.1,287.1,414.8,578.58,108.63,356.03,999.0,59.83,220.3,146.64,271.15,389.54,1252.8,57.39,204.29,185.45,256.93,264.11,179.65,227.21,223.6,90.59,729.4,249.35
2011-02-01,188.13,121.25,154.33,3236.45,283.54,404.15,575.17,106.2,352.53,993.1,59.19,216.1,143.47,268.7,385.77,1240.9,54.91,204.01,180.62,248.73,259.58,179.78,211.49,218.35,90.04,702.71,248.36
2011-02-02,186.15,124.21,150.25,3252.3,291.33,415.77,589.45,105.9,350.6,1000.25,58.7,218.08,146.38,274.45,385.71,1215.85,53.07,201.81,183.4,248.69,257.34,177.34,219.81,223.1,92.99,698.18,244.94
