Date,OR FP Equity,DG FP Equity,TTE FP Equity,AI FP Equity,DSY FP Equity,CS FP Equity,ERF FP Equity,BNP FP Equity,BN FP Equity,CAP FP Equity,CA FP Equity,SGO FP Equity,EL FP Equity,MC FP Equity,ML FP Equity,KER FP Equity,PUB FP Equity,RNO FP Equity,SAF FP Equity,HO FP Equity,TEP FP Equity,RMS FP Equity,ORA FP Equity,MT NA Equity,EN FP Equity,ALO FP Equity,VIE FP Equity,SAN FP Equity,GLE FP Equity,SU FP Equity,AIR FP Equity,ACA FP Equity,RI FP Equity,STMPA FP Equity
2011-01-17,83.25,41.075,42.155,56.7288,5.547,14.5,5.545,52.32,45.625,37.045,28.9198,42.065,48.66,105.17,13.415,107.38,37.03,48.7,27.36,26.355,25.26,155.05,15.775,59.5368,32.88,36.6034,22.2675,50.823,44.96,57.725,20.8,10.41,71.5,8.722
2011-01-18,83.91,41.715,42.5,57.0191,5.581,14.75,5.51,53.24,45.1,37.11,28.6097,42.4,48.465,106.62,13.66,107.97,38.06,48.435,27.48,26.66,25.0,156.8,15.765,59.6803,34.665,37.6836,22.5616,50.6341,45.945,58.25,21.45,10.575,71.47,9.165
2011-01-19,84.16,41.25,42.2,56.8316,5.518,14.27,5.542,53.02,44.72,36.895,28.3432,41.49,48.11,103.1,13.5525,105.68,38.0,48.24,27.525,26.625,24.52,153.1,15.655,58.3781,33.93,36.9604,22.1229,50.4849,46.32,57.25,20.95,10.615,71.37,8.804
2011-01-20,83.14,42.0,41.945,56.2389,5.409,14.7,5.443,53.89,44.28,36.61,28.1161,41.44,47.14,101.66,13.435,104.31,37.715,46.87,26.66,26.645,24.21,148.3,15.705,58.4443,33.985,38.4115,22.3543,49.908,46.875,55.0,20.56,10.895,69.78,8.51
2011-01-21,84.72,42.48,42.525,57.0433,5.426,14.95,5.404,55.1,44.81,37.27,29.0945,41.6,46.93,101.21,13.6675,104.68,37.605,47.05,26.76,26.21,24.35,149.0,16.13,60.1327,34.68,39.1626,22.3447,50.5943,48.08,56.55,20.39,11.255,69.88,8.62
2011-01-24,85.17,43.12,42.905,55.7612,5.437,15.12,5.404,55.17,44.96,37.36,29.8371,42.715,47.415,102.11,13.7,103.67,37.705,47.32,26.215,26.185,24.5,144.45,16.26,60.4086,35.0,38.2307,22.2868,50.7037,48.25,55.6,20.54,11.15,71.06,8.563
2011-01-25,85.42,43.025,42.62,55.8821,5.497,15.15,5.357,54.55,44.735,37.31,29.5269,43.125,47.855,104.23,13.4675,104.82,37.615,47.87,26.605,26.065,25.34,147.25,16.24,60.2982,34.64,38.1241,22.094,50.3755,46.93,56.325,20.74,10.935,71.66,8.177
2011-01-26,86.43,43.0,43.0,56.6744,5.664,15.345,5.193,54.42,44.68,37.41,29.7715,43.51,48.17,104.72,13.6375,107.51,38.35,49.445,27.05,26.385,25.69,148.55,16.135,63.7063,34.7,38.5274,21.9494,51.1214,46.065,58.15,20.75,10.72,71.91,8.518
2011-01-27,84.96,43.135,43.215,56.2813,5.749,15.555,5.182,55.48,44.395,37.695,29.6187,42.715,48.395,103.51,13.42,105.18,38.54,49.425,27.13,27.155,25.9,148.95,16.155,63.8692,34.57,39.0096,22.0168,50.8927,47.505,58.225,21.585,10.965,71.3,8.925
2011-01-28,83.97,42.5,42.325,55.229,5.763,15.39,4.827,55.08,43.945,36.88,29.6798,42.005,48.415,102.56,13.365,103.85,37.64,47.785,26.72,27.39,25.95,148.45,15.88,62.5781,34.185,38.0175,21.8626,48.9483,48.32,57.625,21.655,10.95,70.0,8.842
2011-01-31,84.8,42.285,42.715,55.1745,5.736,15.46,4.89,54.6,43.99,36.805,31.261,42.32,48.825,102.78,13.2925,106.83,37.59,47.785,26.4,27.145,26.33,147.4,15.955,61.9034,34.01,37.7996,22.012,49.6047,47.23,56.95,21.05,10.79,69.63,8.839
2011-02-01,86.63,42.415,44.08,56.6139,5.81,15.645,4.784,56.59,44.85,37.27,31.5187,42.575,49.265,104.77,13.5925,106.78,38.08,47.365,26.425,27.305,26.7,150.75,16.16,62.5083,33.835,38.0453,22.4122,50.4153,47.875,57.375,20.975,10.93,69.98,8.97
