Date,Close,Trade Signal
2011-01-03,332.14813232421875,0
2011-01-04,338.4358215332031,0
2011-01-05,339.1053771972656,0
2011-01-06,335.64447021484375,0
2011-01-07,337.0330810546875,0
2011-01-10,328.0598449707031,0
2011-01-11,326.3963623046875,0
2011-01-12,340.12750244140625,0
2011-01-13,347.3666076660156,0
2011-01-14,346.47149658203125,0
2011-01-17,344.6881408691406,0
2011-01-18,341.1354675292969,0
2011-01-19,339.77508544921875,0
2011-01-20,343.53912353515625,0
2011-01-21,339.9653625488281,0
2011-01-24,337.78729248046875,0
2011-01-25,333.8258361816406,0
2011-01-27,332.08477783203125,0
2011-01-28,324.64117431640625,0
2011-01-31,321.6031799316406,0
2011-02-01,318.3606872558594,0
2011-02-02,315.7878723144531,0
2011-02-03,323.4006042480469,0
2011-02-04,324.0561218261719,0
2011-02-07,324.4649658203125,0
2011-02-08,325.0923156738281,0
2011-02-09,317.500732421875,0
2011-02-10,310.5082702636719,0
2011-02-11,313.96929931640625,0
2011-02-14,326.82635498046875,0
2011-02-15,325.45184326171875,1
2011-02-16,326.6360168457031,0
2011-02-17,328.8634338378906,0
2011-02-18,323.2384033203125,0
2011-02-21,328.01055908203125,0
2011-02-22,327.76385498046875,0
2011-02-23,320.7149963378906,0
2011-02-24,316.18963623046875,0
2011-02-25,317.04254150390625,-1
2011-02-28,317.9236755371094,0
2011-03-01,323.3301696777344,1
2011-03-03,321.9344482421875,0
2011-03-04,324.2746276855469,0
2011-03-07,324.338134765625,0
2011-03-08,323.32305908203125,0
2011-03-09,326.0016174316406,0
2011-03-10,327.3761291503906,0
2011-03-11,331.59136962890625,0
2011-03-14,335.5881042480469,0
2011-03-15,335.7360534667969,0
2011-03-16,343.4474792480469,0
2011-03-17,343.70123291015625,0
2011-03-18,343.2853698730469,0
2011-03-21,343.2712707519531,0
2011-03-22,345.66790771484375,0
2011-03-23,346.8168640136719,0
2011-03-24,343.24310302734375,0
2011-03-25,349.495361328125,0
2011-03-28,348.6495666503906,0
2011-03-29,344.0043640136719,0
2011-03-30,346.478515625,0
2011-03-31,346.3656921386719,0
2011-04-01,356.79803466796875,0
2011-04-04,364.3402404785156,0
2011-04-05,360.8299255371094,0
2011-04-06,359.3003234863281,0
2011-04-07,355.5574035644531,0
2011-04-08,357.7566833496094,0
2011-04-11,357.19976806640625,0
2011-04-13,360.33648681640625,0
2011-04-15,355.5292663574219,-1
2011-04-18,348.353515625,0
2011-04-19,338.41461181640625,0
2011-04-20,340.69140625,0
2011-04-21,341.55841064453125,0
2011-04-25,347.3807678222656,0
2011-04-26,352.7942810058594,0
2011-04-27,348.48736572265625,0
2011-04-28,344.92071533203125,0
2011-04-29,345.7384033203125,0
2011-05-02,348.2970886230469,0
2011-05-03,345.84405517578125,0
2011-05-04,332.4583435058594,0
2011-05-05,324.6905212402344,0
2011-05-06,328.94805908203125,0
2011-05-09,328.66607666015625,0
2011-05-10,332.63458251953125,0
2011-05-11,332.8178405761719,0
2011-05-12,325.1275634765625,0
2011-05-13,330.73834228515625,0
2011-05-16,327.4395751953125,0
2011-05-17,326.6078796386719,0
2011-05-18,324.5918884277344,0
2011-05-19,315.7102966308594,0
2011-05-20,318.3606872558594,0
2011-05-23,311.6994934082031,0
2011-05-24,313.9410400390625,0
2011-05-25,316.5209045410156,0
2011-05-26,317.75457763671875,0
2011-05-27,317.19061279296875,0
2011-05-30,316.44342041015625,0
2011-05-31,324.6341552734375,1
2011-06-01,328.4052734375,0
2011-06-02,321.3987121582031,0
2011-06-03,321.2507019042969,0
2011-06-06,321.30712890625,0
2011-06-07,322.49127197265625,0
2011-06-08,322.5406494140625,0
2011-06-09,320.5740661621094,0
2011-06-10,314.46978759765625,0
2011-06-13,312.1859436035156,0
2011-06-14,313.6379699707031,0
2011-06-15,310.6986083984375,-1
2011-06-16,304.5379638671875,0
2011-06-17,296.9815979003906,0
2011-06-20,283.8637390136719,0
2011-06-21,288.2127685546875,0
2011-06-22,290.17242431640625,0
2011-06-23,286.8031005859375,0
2011-06-24,294.5074462890625,0
2011-06-27,291.8006896972656,0
2011-06-28,292.4210205078125,0
2011-06-29,295.93133544921875,0
2011-06-30,295.466064453125,1
2011-07-01,299.927978515625,0
2011-07-04,302.5219421386719,0
2011-07-05,311.051025390625,0
2011-07-06,312.13653564453125,0
2011-07-07,315.92181396484375,0
2011-07-08,305.4472351074219,0
2011-07-11,307.80865478515625,0
2011-07-12,307.20941162109375,0
2011-07-13,306.6949157714844,0
2011-07-14,307.1882629394531,0
2011-07-15,304.7070617675781,0
2011-07-18,305.72216796875,0
2011-07-19,307.5759582519531,0
2011-07-20,304.3617248535156,0
2011-07-21,304.46746826171875,0
2011-07-22,313.0810546875,0
2011-07-25,310.9241943359375,0
2011-07-26,307.98480224609375,0
2011-07-27,305.4120178222656,0
2011-07-28,311.1003723144531,0
2011-07-29,309.58489990234375,0
2011-08-01,309.8386535644531,0
2011-08-02,310.84661865234375,0
2011-08-03,310.0924072265625,0
2011-08-04,304.0515441894531,0
2011-08-05,296.96746826171875,-1
2011-08-08,295.3321533203125,0
2011-08-09,303.7273254394531,0
2011-08-10,297.41156005859375,0
2011-08-11,295.8889465332031,0
2011-08-12,296.0793762207031,0
2011-08-16,295.5154724121094,0
2011-08-17,298.06707763671875,0
2011-08-18,295.26873779296875,0
2011-08-19,293.4712829589844,0
2011-08-22,297.23529052734375,0
2011-08-23,298.9482116699219,0
2011-08-24,300.68218994140625,1
2011-08-25,304.8269348144531,0
2011-08-26,295.0431823730469,0
2011-08-29,302.98016357421875,0
2011-08-30,308.04119873046875,0
2011-09-02,305.2004699707031,0
2011-09-05,309.5990295410156,0
2011-09-06,307.3122863769531,0
