Date,Close Price,Trading Signal
2021-07-06,3065.270263671875,1.0
2021-07-07,3077.15625,1.0
2021-07-08,3061.699462890625,1.0
2021-07-09,3014.390380859375,1.0
2021-07-12,3000.249755859375,1.0
2021-07-13,2995.034912109375,1.0
2021-07-14,3020.403564453125,1.0
2021-07-15,3016.072509765625,1.0
2021-07-16,3008.39794921875,1.0
2021-07-19,2998.79296875,1.0
2021-07-20,3018.75634765625,-1.0
2021-07-22,3028.690673828125,-1.0
2021-07-23,3025.395263671875,-1.0
2021-07-26,3010.9873046875,1.0
2021-07-27,2997.2392578125,-1.0
2021-07-28,3011.222900390625,-1.0
2021-07-29,3009.33984375,-1.0
2021-07-30,2982.64404296875,-1.0
2021-08-02,3031.5625,1.0
2021-08-03,3093.2412109375,-1.0
2021-08-04,3082.929931640625,-1.0
2021-08-05,3092.346435546875,-1.0
2021-08-06,3116.6884765625,-1.0
2021-08-09,3128.835693359375,-1.0
2021-08-10,3139.382080078125,-1.0
2021-08-11,3149.081298828125,-1.0
2021-08-12,3156.19091796875,-1.0
2021-08-13,3261.326416015625,-1.0
2021-08-16,3270.3193359375,-1.0
2021-08-17,3345.74560546875,-1.0
2021-08-18,3352.808349609375,-1.0
2021-08-20,3351.819091796875,-1.0
2021-08-23,3425.17431640625,-1.0
2021-08-24,3402.38623046875,-1.0
2021-08-25,3445.513916015625,-1.0
2021-08-26,3457.6142578125,-1.0
2021-08-27,3503.09619140625,-1.0
2021-08-30,3485.34619140625,-1.0
2021-08-31,3565.5283203125,-1.0
2021-09-01,3498.199462890625,-1.0
2021-09-02,3612.892578125,1.0
2021-09-03,3617.884033203125,-1.0
2021-09-06,3627.25341796875,-1.0
2021-09-07,3593.259521484375,-1.0
2021-09-08,3553.94580078125,-1.0
2021-09-09,3570.189208984375,1.0
2021-09-13,3620.99169921875,-1.0
2021-09-14,3659.17529296875,-1.0
2021-09-15,3723.8203125,-1.0
2021-09-16,3675.56005859375,-1.0
2021-09-17,3604.5126953125,-1.0
2021-09-20,3600.416259765625,1.0
2021-09-21,3637.56396484375,1.0
2021-09-22,3636.810791015625,-1.0
2021-09-23,3643.496337890625,-1.0
2021-09-24,3645.42724609375,-1.0
2021-09-27,3613.081298828125,-1.0
2021-09-28,3558.65380859375,-1.0
2021-09-29,3570.659912109375,1.0
2021-09-30,3555.263671875,-1.0
2021-10-01,3512.559814453125,1.0
2021-10-04,3553.145263671875,1.0
2021-10-05,3609.644775390625,-1.0
2021-10-06,3588.551513671875,-1.0
2021-10-07,3665.766845703125,-1.0
2021-10-08,3706.02294921875,-1.0
2021-10-11,3470.5625,-1.0
2021-10-12,3439.72314453125,1.0
2021-10-13,3441.935791015625,1.0
2021-10-14,3407.263427734375,1.0
2021-10-18,3440.94482421875,1.0
2021-10-19,3428.68017578125,-1.0
2021-10-20,3404.810546875,-1.0
2021-10-21,3332.777099609375,-1.0
2021-10-22,3301.030029296875,1.0
2021-10-25,3295.463134765625,1.0
2021-10-26,3285.698486328125,1.0
2021-10-27,3292.444091796875,1.0
2021-10-28,3228.1943359375,-1.0
2021-10-29,3205.645751953125,1.0
2021-11-01,3279.84912109375,1.0
2021-11-02,3287.207763671875,-1.0
2021-11-03,3294.80322265625,-1.0
2021-11-04,3310.275634765625,-1.0
2021-11-08,3304.709228515625,-1.0
2021-11-09,3307.492431640625,-1.0
2021-11-10,3287.302490234375,-1.0
2021-11-11,3290.98193359375,1.0
2021-11-12,3326.69189453125,-1.0
2021-11-15,3352.4013671875,-1.0
2021-11-16,3355.32568359375,-1.0
2021-11-17,3322.7763671875,-1.0
2021-11-18,3279.1884765625,1.0
2021-11-22,3262.86669921875,1.0
2021-11-23,3268.38623046875,1.0
2021-11-24,3248.62060546875,1.0
2021-11-25,3251.07373046875,1.0
2021-11-26,3251.969482421875,1.0
2021-11-29,3304.001708984375,1.0
2021-11-30,3329.616455078125,-1.0
2021-12-01,3375.516357421875,-1.0
2021-12-02,3436.935546875,-1.0
2021-12-03,3434.623779296875,-1.0
2021-12-06,3336.45703125,1.0
2021-12-07,3381.83740234375,1.0
2021-12-08,3421.840087890625,1.0
2021-12-09,3398.112548828125,-1.0
2021-12-10,3431.18017578125,-1.0
2021-12-13,3405.565185546875,-1.0
2021-12-14,3418.915283203125,1.0
2021-12-15,3368.48779296875,-1.0
2021-12-16,3379.1015625,1.0
2021-12-17,3381.69580078125,-1.0
2021-12-20,3355.7978515625,-1.0
2021-12-21,3404.2919921875,1.0
2021-12-22,3425.472412109375,-1.0
2021-12-23,3455.615966796875,-1.0
2021-12-24,3463.351806640625,-1.0
2021-12-27,3487.127685546875,-1.0
2021-12-28,3496.986328125,-1.0
2021-12-29,3485.806884765625,-1.0
2021-12-30,3522.64892578125,-1.0
2021-12-31,3526.989013671875,-1.0
2022-01-03,3601.89990234375,-1.0
2022-01-04,3665.11181640625,-1.0
2022-01-05,3642.656982421875,-1.0
2022-01-06,3592.181640625,-1.0
2022-01-07,3635.628662109375,-1.0
2022-01-10,3660.488525390625,-1.0
2022-01-11,3694.500244140625,-1.0
2022-01-12,3641.66650390625,-1.0
2022-01-13,3677.51806640625,1.0
2022-01-14,3743.796142578125,-1.0
2022-01-17,3791.912841796875,-1.0
2022-01-18,3764.97705078125,-1.0
2022-01-19,3699.810791015625,-1.0
2022-01-20,3616.54638671875,1.0
2022-01-21,3623.114501953125,1.0
2022-01-24,3564.37548828125,1.0
2022-01-25,3563.0048828125,1.0
2022-01-27,3448.976318359375,1.0
2022-01-28,3487.536865234375,1.0
2022-01-31,3531.20166015625,1.0
2022-02-01,3592.06689453125,1.0
2022-02-02,3644.568603515625,-1.0
2022-02-03,3614.703125,-1.0
2022-02-04,3605.53515625,-1.0
2022-02-07,3571.605712890625,-1.0
2022-02-08,3538.006591796875,1.0
2022-02-09,3554.168212890625,1.0
2022-02-10,3563.43017578125,1.0
2022-02-11,3492.16796875,1.0
2022-02-14,3528.839111328125,1.0
2022-02-15,3608.276123046875,1.0
2022-02-16,3603.834228515625,-1.0
2022-02-17,3576.520263671875,-1.0
2022-02-18,3585.6875,1.0
2022-02-21,3515.276123046875,1.0
2022-02-22,3389.57568359375,1.0
2022-02-23,3368.216064453125,1.0
2022-02-24,3214.96484375,1.0
2022-02-25,3327.528076171875,1.0
