Date,Close Price,Trading Signal
2021-06-08,1423.6962890625,1.0
2021-06-09,1421.056396484375,1.0
2021-06-10,1421.7763671875,1.0
2021-06-11,1426.8641357421875,1.0
2021-06-14,1420.240234375,1.0
2021-06-15,1430.608154296875,1.0
2021-06-16,1425.1842041015625,1.0
2021-06-17,1407.4246826171875,1.0
2021-06-18,1420.5762939453125,1.0
2021-06-21,1429.1199951171875,1.0
2021-06-22,1424.416259765625,1.0
2021-06-23,1426.0482177734375,1.0
2021-06-24,1445.9677734375,1.0
2021-06-25,1454.4635009765625,1.0
2021-06-28,1447.9837646484375,1.0
2021-06-29,1448.1766357421875,1.0
2021-06-30,1444.17529296875,1.0
2021-07-01,1433.42529296875,1.0
2021-07-02,1427.3031005859375,1.0
2021-07-05,1441.813232421875,1.0
2021-07-06,1479.6553955078125,1.0
2021-07-07,1484.2833251953125,1.0
2021-07-08,1465.9166259765625,1.0
2021-07-09,1448.1282958984375,1.0
2021-07-12,1433.6663818359375,1.0
2021-07-13,1447.983642578125,1.0
2021-07-14,1445.380615234375,1.0
2021-07-15,1466.15771484375,1.0
2021-07-16,1467.7484130859375,1.0
2021-07-19,1418.240234375,1.0
2021-07-20,1391.3890380859375,1.0
2021-07-22,1396.739990234375,1.0
2021-07-23,1391.0035400390625,1.0
2021-07-26,1383.0975341796875,1.0
2021-07-27,1388.1109619140625,1.0
2021-07-28,1366.4661865234375,1.0
2021-07-29,1367.3822021484375,1.0
2021-07-30,1375.2879638671875,1.0
2021-08-02,1371.6243896484375,1.0
2021-08-03,1383.2420654296875,1.0
2021-08-04,1412.74462890625,1.0
2021-08-05,1431.5933837890625,1.0
2021-08-06,1439.11376953125,1.0
2021-08-09,1449.960205078125,1.0
2021-08-10,1453.5758056640625,1.0
2021-08-11,1441.3310546875,1.0
2021-08-12,1447.5498046875,1.0
2021-08-13,1471.46044921875,1.0
2021-08-16,1475.7025146484375,1.0
2021-08-17,1460.3245849609375,1.0
2021-08-18,1458.73388671875,1.0
2021-08-20,1460.4210205078125,1.0
2021-08-23,1469.9176025390625,1.0
2021-08-24,1502.939208984375,1.0
2021-08-25,1501.541259765625,1.0
2021-08-26,1499.0345458984375,1.0
2021-08-27,1492.9122314453125,1.0
2021-08-30,1512.002197265625,1.0
2021-08-31,1524.6805419921875,1.0
2021-09-01,1522.4630126953125,1.0
2021-09-02,1532.0079345703125,1.0
2021-09-03,1519.5225830078125,1.0
