Date,Close Price,Trading Signal
2021-07-06,1746.72265625,-1.0
2021-07-07,1711.4969482421875,-1.0
2021-07-08,1710.60498046875,1.0
2021-07-09,1704.907470703125,1.0
2021-07-12,1704.164306640625,1.0
2021-07-13,1708.524169921875,1.0
2021-07-14,1694.7509765625,1.0
2021-07-15,1686.0313720703125,1.0
2021-07-16,1679.8878173828125,1.0
2021-07-19,1665.0245361328125,1.0
2021-07-20,1656.15625,1.0
2021-07-22,1690.2745361328125,1.0
2021-07-23,1689.4798583984375,1.0
2021-07-26,1711.2322998046875,1.0
2021-07-27,1717.3905029296875,1.0
2021-07-28,1711.927734375,1.0
2021-07-29,1727.42236328125,1.0
2021-07-30,1702.9884033203125,1.0
2021-08-02,1759.60400390625,1.0
2021-08-03,1827.7908935546875,1.0
2021-08-04,1787.4647216796875,-1.0
2021-08-05,1787.166748046875,1.0
2021-08-06,1775.694580078125,1.0
2021-08-09,1787.0177001953125,1.0
2021-08-10,1787.0673828125,1.0
2021-08-11,1777.33349609375,1.0
2021-08-12,1811.3028564453125,1.0
2021-08-13,1825.5064697265625,1.0
2021-08-16,1824.8111572265625,1.0
2021-08-17,1861.8099365234375,1.0
2021-08-18,1867.62060546875,-1.0
2021-08-20,1864.1441650390625,-1.0
2021-08-23,1857.7376708984375,1.0
2021-08-24,1856.99267578125,1.0
2021-08-25,1810.359375,1.0
2021-08-26,1803.1085205078125,1.0
2021-08-27,1810.260009765625,1.0
2021-08-30,1865.7830810546875,1.0
2021-08-31,1908.64208984375,-1.0
2021-09-01,1926.322021484375,-1.0
2021-09-02,1953.835205078125,-1.0
2021-09-03,2005.6832275390625,-1.0
2021-09-06,2007.024169921875,-1.0
2021-09-07,2020.184814453125,-1.0
2021-09-08,2042.0859375,1.0
2021-09-09,2020.58203125,1.0
2021-09-13,2016.9566650390625,1.0
2021-09-14,2041.8377685546875,1.0
2021-09-15,2105.55517578125,1.0
2021-09-16,2094.48046875,-1.0
2021-09-17,2081.46875,-1.0
2021-09-20,2063.341796875,1.0
2021-09-21,2071.78466796875,1.0
2021-09-22,2067.016845703125,1.0
2021-09-23,2090.85498046875,1.0
2021-09-24,2078.786865234375,1.0
2021-09-27,2076.15478515625,1.0
2021-09-28,2114.94140625,1.0
2021-09-29,2133.0185546875,1.0
2021-09-30,2147.272216796875,1.0
2021-10-01,2149.1591796875,1.0
2021-10-04,2140.76611328125,1.0
2021-10-05,2177.8642578125,1.0
2021-10-06,2133.16748046875,1.0
2021-10-07,2359.332275390625,1.0
2021-10-08,2342.2978515625,-1.0
2021-10-11,2346.469482421875,-1.0
2021-10-12,2475.79150390625,-1.0
2021-10-13,2520.0908203125,-1.0
