Date,RELIANCE.NS(close)
2011-01-03,435.4705505371094
2011-01-04,444.3400573730469
2011-01-05,443.8036804199219
2011-01-06,447.8465881347656
2011-01-07,439.51336669921875
2011-01-10,426.33294677734375
2011-01-11,418.2060241699219
2011-01-12,425.2396545410156
2011-01-13,418.8660583496094
2011-01-14,413.1524353027344
2011-01-17,411.6673583984375
2011-01-18,410.40911865234375
2011-01-19,404.34490966796875
2011-01-20,400.09576416015625
2011-01-21,407.0882263183594
2011-01-24,400.8177185058594
2011-01-25,395.41351318359375
2011-01-27,388.8954772949219
2011-01-28,376.64324951171875
2011-01-31,379.2422790527344
2011-02-01,369.4239196777344
2011-02-02,380.0672912597656
2011-02-03,389.39056396484375
2011-02-04,379.5310363769531
2011-02-07,383.2644348144531
2011-02-08,377.57147216796875
2011-02-09,377.1795654296875
2011-02-10,371.1358947753906
2011-02-11,375.385009765625
2011-02-14,377.3857421875
2011-02-15,388.4829406738281
2011-02-16,389.4936828613281
2011-02-17,393.5365295410156
2011-02-18,385.9458923339844
2011-02-21,394.5266418457031
2011-02-22,406.2838134765625
2011-02-23,410.7391052246094
2011-02-24,397.7649841308594
2011-02-25,398.61065673828125
2011-02-28,397.7856140136719
2011-03-01,407.9339294433594
2011-03-03,403.21038818359375
2011-03-04,405.19061279296875
2011-03-07,403.0660705566406
2011-03-08,406.3250732421875
2011-03-09,409.9966125488281
2011-03-10,406.2425537109375
2011-03-11,409.25408935546875
2011-03-14,420.10369873046875
2011-03-15,427.9005126953125
2011-03-16,431.9639892578125
2011-03-17,425.2603759765625
2011-03-18,409.64593505859375
2011-03-21,408.5321044921875
2011-03-22,412.38934326171875
2011-03-23,417.9997253417969
2011-03-24,416.7828063964844
2011-03-25,423.5071105957031
2011-03-28,423.13580322265625
2011-03-29,421.9188232421875
2011-03-30,425.9410095214844
2011-03-31,432.7890930175781
2011-04-01,427.5499267578125
2011-04-04,433.42852783203125
2011-04-05,432.19091796875
2011-04-06,431.0357971191406
2011-04-07,429.8188171386719
2011-04-08,422.3931884765625
2011-04-11,414.7200927734375
2011-04-13,421.5269470214844
2011-04-15,421.17626953125
2011-04-18,416.308349609375
2011-04-19,417.3397216796875
2011-04-20,423.21832275390625
2011-04-21,429.28253173828125
2011-04-25,416.3908386230469
2011-04-26,413.0081481933594
2011-04-27,406.7994384765625
2011-04-28,401.14776611328125
2011-04-29,405.8299560546875
2011-05-02,397.9918518066406
2011-05-03,389.39056396484375
2011-05-04,390.93756103515625
2011-05-05,395.5036926269531
2011-05-06,397.6270446777344
2011-05-09,399.3965148925781
2011-05-10,395.8367614746094
2011-05-11,397.79364013671875
2011-05-12,393.6510009765625
2011-05-13,394.69189453125
2011-05-16,393.4428405761719
2011-05-17,383.3049621582031
2011-05-18,375.4776916503906
2011-05-19,381.1607666015625
2011-05-20,384.3665466308594
2011-05-23,378.6210021972656
2011-05-24,381.26483154296875
2011-05-25,377.2054443359375
2011-05-26,388.8006591796875
2011-05-27,393.6301574707031
2011-05-30,390.88232421875
2011-05-31,396.2947692871094
2011-06-01,394.1922912597656
2011-06-02,395.9617004394531
2011-06-03,389.1128845214844
2011-06-06,390.4244079589844
2011-06-07,398.9593505859375
2011-06-08,395.19140625
2011-06-09,397.1899108886719
2011-06-10,393.23468017578125
2011-06-13,385.36572265625
2011-06-14,379.4329528808594
2011-06-15,374.93646240234375
2011-06-16,369.5240173339844
2011-06-17,361.69677734375
2011-06-20,346.9167175292969
2011-06-21,353.3282775878906
2011-06-22,352.1417236328125
2011-06-23,362.4254455566406
2011-06-24,362.80010986328125
2011-06-27,362.8625183105469
2011-06-28,362.6751708984375
2011-06-29,368.5664367675781
2011-06-30,374.08294677734375
2011-07-01,358.8656311035156
2011-07-04,361.5510559082031
2011-07-05,352.2041931152344
2011-07-06,355.0977478027344
2011-07-07,362.5086669921875
2011-07-08,355.9096374511719
2011-07-11,355.2643127441406
2011-07-12,352.95361328125
2011-07-13,360.3228454589844
2011-07-14,361.1971740722656
2011-07-15,363.54949951171875
2011-07-18,361.2180480957031
2011-07-19,366.1516418457031
2011-07-20,364.79852294921875
2011-07-21,358.4076843261719
2011-07-22,363.6120300292969
2011-07-25,367.5672302246094
2011-07-26,362.84173583984375
2011-07-27,358.4076843261719
2011-07-28,348.6236572265625
2011-07-29,344.7100524902344
2011-08-01,345.9174499511719
2011-08-02,348.60284423828125
2011-08-03,343.50262451171875
2011-08-04,338.2150573730469
2011-08-05,329.7425231933594
2011-08-08,325.01708984375
2011-08-09,318.6262512207031
2011-08-10,321.72796630859375
2011-08-11,321.4989929199219
2011-08-12,316.7944030761719
2011-08-16,316.06573486328125
2011-08-17,314.3379211425781
2011-08-18,308.59246826171875
2011-08-19,304.9910583496094
2011-08-22,315.17059326171875
2011-08-23,318.6054992675781
2011-08-24,316.9608154296875
2011-08-25,313.71343994140625
2011-08-26,299.5161437988281
2011-08-29,314.35882568359375
2011-08-30,325.82891845703125
2011-09-02,335.34234619140625
2011-09-05,328.43109130859375
2011-09-06,342.0246887207031
2011-09-07,347.0207824707031
2011-09-08,354.91046142578125
2011-09-09,343.79412841796875
2011-09-12,335.69622802734375
2011-09-13,337.3408508300781
2011-09-14,343.64837646484375
2011-09-15,348.1864929199219
2011-09-16,343.7524719238281
2011-09-19,342.04541015625
2011-09-20,354.6398010253906
2011-09-21,348.72772216796875
2011-09-22,327.39019775390625
2011-09-23,320.83282470703125
2011-09-26,316.0865478515625
2011-09-27,331.9075622558594
2011-09-28,331.9075622558594
2011-09-29,336.2790832519531
2011-09-30,336.5497131347656
2011-10-03,328.1604919433594
2011-10-04,321.2491760253906
2011-10-05,319.33404541015625
2011-10-07,334.2806701660156
2011-10-10,345.25128173828125
2011-10-11,344.31451416015625
2011-10-12,353.74462890625
2011-10-13,352.5997314453125
2011-10-14,360.9265441894531
2011-10-17,347.1456604003906
2011-10-18,341.3585205078125
2011-10-19,350.9759521484375
2011-10-20,349.18572998046875
2011-10-21,347.9574890136719
2011-10-24,352.43316650390625
2011-10-25,364.6944580078125
