Date,TCS.NS(close)
2011-01-03,446.3519592285156
2011-01-04,441.2255554199219
2011-01-05,446.6987609863281
2011-01-06,451.6131286621094
2011-01-07,440.41632080078125
2011-01-10,435.8874816894531
2011-01-11,423.3993225097656
2011-01-12,437.8338928222656
2011-01-13,433.3241882324219
2011-01-14,431.74395751953125
2011-01-17,438.3926696777344
2011-01-18,463.5037841796875
2011-01-19,459.8229064941406
2011-01-20,467.2231140136719
2011-01-21,467.0110778808594
2011-01-24,466.0670166015625
2011-01-25,458.1077575683594
2011-01-27,463.06878662109375
2011-01-28,456.0998840332031
2011-01-31,447.6641540527344
2011-02-01,444.05413818359375
2011-02-02,456.5246276855469
2011-02-03,457.0074462890625
2011-02-04,443.5330505371094
2011-02-07,436.7187194824219
2011-02-08,434.3828430175781
2011-02-09,424.03582763671875
2011-02-10,421.1208190917969
2011-02-11,420.67681884765625
2011-02-14,429.44097900390625
2011-02-15,423.8040771484375
2011-02-16,423.3408508300781
2011-02-17,428.2440490722656
2011-02-18,420.7154541015625
2011-02-21,439.5948486328125
2011-02-22,439.6527404785156
2011-02-23,434.55657958984375
2011-02-24,429.2477111816406
2011-02-25,428.5722961425781
2011-02-28,428.6494140625
2011-03-01,434.15118408203125
2011-03-03,444.0735168457031
2011-03-04,438.4175109863281
2011-03-07,427.877197265625
2011-03-08,431.52557373046875
2011-03-09,435.0004577636719
2011-03-10,427.9931335449219
2011-03-11,415.8314208984375
2011-03-14,423.74627685546875
2011-03-15,420.7540588378906
2011-03-16,430.42559814453125
2011-03-17,423.91998291015625
2011-03-18,418.03216552734375
2011-03-21,413.4184265136719
2011-03-22,412.9165344238281
2011-03-23,410.92828369140625
2011-03-24,422.14398193359375
2011-03-25,432.27874755859375
2011-03-28,432.3751220703125
2011-03-29,439.6334533691406
2011-03-30,444.7492370605469
2011-03-31,457.0845031738281
2011-04-01,455.6367492675781
2011-04-04,468.3968505859375
2011-04-05,478.68585205078125
2011-04-06,471.73626708984375
2011-04-07,462.9915771484375
2011-04-08,461.7560729980469
2011-04-11,454.9610595703125
2011-04-13,467.19989013671875
2011-04-15,459.98016357421875
2011-04-18,441.91143798828125
2011-04-19,449.6716003417969
2011-04-20,470.5201416015625
2011-04-21,460.2503356933594
2011-04-25,462.4703674316406
2011-04-26,459.05364990234375
2011-04-27,455.81048583984375
2011-04-28,447.3358154296875
2011-04-29,450.0384216308594
2011-05-02,447.2584533691406
2011-05-03,439.5370178222656
2011-05-04,438.9964599609375
2011-05-05,430.4834289550781
2011-05-06,443.5908508300781
2011-05-09,438.4175109863281
2011-05-10,440.0968933105469
2011-05-11,440.23187255859375
2011-05-12,429.2286376953125
2011-05-13,435.1549377441406
2011-05-16,436.69921875
2011-05-17,440.7917785644531
2011-05-18,445.9460144042969
2011-05-19,449.7296142578125
2011-05-20,453.64825439453125
2011-05-23,450.3860168457031
2011-05-24,443.9577331542969
2011-05-25,435.73406982421875
2011-05-26,438.49468994140625
2011-05-27,441.8922119140625
2011-05-30,444.7492370605469
2011-05-31,446.7567138671875
2011-06-01,453.80279541015625
2011-06-02,450.8492736816406
2011-06-03,444.8070373535156
2011-06-06,449.53656005859375
2011-06-07,455.30859375
2011-06-08,459.234619140625
2011-06-09,461.15875244140625
2011-06-10,462.2665710449219
2011-06-13,456.8634948730469
2011-06-14,462.9856872558594
2011-06-15,460.3424377441406
2011-06-16,447.475830078125
2011-06-17,431.1689147949219
2011-06-20,415.6590270996094
2011-06-21,430.21661376953125
2011-06-22,421.1788635253906
2011-06-23,426.4266357421875
2011-06-24,442.2669677734375
2011-06-27,447.261962890625
2011-06-28,448.5835876464844
2011-06-29,454.7449035644531
2011-06-30,460.32293701171875
2011-07-01,463.31622314453125
2011-07-04,460.9060363769531
2011-07-05,458.4765930175781
2011-07-06,459.7788391113281
2011-07-07,464.8709716796875
2011-07-08,455.4445495605469
2011-07-11,449.6139831542969
2011-07-12,445.2212219238281
2011-07-13,446.6593933105469
2011-07-14,436.80548095703125
2011-07-15,445.493408203125
2011-07-18,437.3300476074219
2011-07-19,443.16107177734375
2011-07-20,440.20660400390625
2011-07-21,436.35845947265625
2011-07-22,440.57598876953125
2011-07-25,443.10284423828125
2011-07-26,444.9489440917969
2011-07-27,445.9210510253906
2011-07-28,440.23077392578125
2011-07-29,443.1343078613281
2011-08-01,442.4522705078125
2011-08-02,440.65948486328125
2011-08-03,432.7476806640625
2011-08-04,427.096435546875
2011-08-05,412.3253173828125
2011-08-08,391.824951171875
2011-08-09,376.0210876464844
2011-08-10,383.5235290527344
2011-08-11,381.302001953125
2011-08-12,369.14215087890625
2011-08-16,379.4508972167969
2011-08-17,389.7008361816406
2011-08-18,375.0661926269531
2011-08-19,362.04888916015625
2011-08-22,357.8006591796875
2011-08-23,382.5687255859375
2011-08-24,375.16357421875
2011-08-25,370.40887451171875
2011-08-26,369.64886474609375
2011-08-29,397.3788146972656
2011-08-30,406.2648010253906
2011-09-02,398.353271484375
2011-09-05,400.53570556640625
2011-09-06,402.95208740234375
2011-09-07,401.8218688964844
2011-09-08,403.79022216796875
2011-09-09,395.9952087402344
2011-09-12,384.1666564941406
2011-09-13,387.3039855957031
2011-09-14,395.6249084472656
2011-09-15,406.01153564453125
2011-09-16,400.55517578125
2011-09-19,396.7746887207031
2011-09-20,412.3253173828125
2011-09-21,406.69354248046875
2011-09-22,387.5572204589844
2011-09-23,385.9593505859375
2011-09-26,388.55120849609375
2011-09-27,405.5438232421875
2011-09-28,408.40850830078125
2011-09-29,413.6893615722656
2011-09-30,404.2773132324219
2011-10-03,406.61572265625
2011-10-04,407.6484680175781
2011-10-05,406.7131042480469
2011-10-07,408.6618347167969
2011-10-10,414.9560546875
2011-10-11,405.66064453125
2011-10-12,420.5488586425781
2011-10-13,425.8882751464844
2011-10-14,442.06243896484375
2011-10-17,436.60626220703125
2011-10-18,402.815673828125
2011-10-19,408.81768798828125
2011-10-20,407.23919677734375
2011-10-21,409.16845703125
2011-10-24,420.8215637207031
2011-10-25,429.3808288574219
2011-10-28,438.3111877441406
2011-10-31,436.0834045410156
2011-11-01,433.2107849121094
2011-11-02,432.5856018066406
2011-11-03,431.8625183105469
2011-11-04,429.8301696777344
2011-11-08,431.9601745605469
2011-11-09,438.87786865234375
2011-11-11,442.02398681640625
2011-11-14,441.0079040527344
2011-11-15,439.4442443847656
2011-11-16,436.6501770019531
2011-11-17,435.8294372558594
2011-11-18,424.6711730957031
2011-11-21,417.0893249511719
2011-11-22,422.8148193359375
2011-11-23,415.17425537109375
2011-11-24,426.70361328125
2011-11-25,415.799560546875
2011-11-28,425.4139099121094
2011-11-29,427.2897644042969
2011-11-30,435.9856872558594
2011-12-01,443.50897216796875
2011-12-02,460.39288330078125
2011-12-05,461.54583740234375
2011-12-07,460.9985046386719
2011-12-08,460.23638916015625
2011-12-09,458.2041931152344
2011-12-12,461.3110656738281
2011-12-13,460.6662902832031
2011-12-14,462.1319274902344
2011-12-15,462.1513977050781
2011-12-16,448.0035705566406
2011-12-19,446.9678649902344
2011-12-20,442.9424133300781
2011-12-21,452.8498229980469
2011-12-22,450.11395263671875
2011-12-23,452.2440185546875
2011-12-26,464.457275390625
2011-12-27,460.9595031738281
2011-12-28,456.9534606933594
2011-12-29,455.58563232421875
2011-12-30,453.6118469238281
2012-01-02,460.6273193359375
2012-01-03,468.0530700683594
2012-01-04,458.438720703125
2012-01-05,458.0478515625
2012-01-06,457.0317077636719
2012-01-09,457.7938537597656
2012-01-10,455.46832275390625
2012-01-11,444.3689880371094
2012-01-12,425.8047790527344
2012-01-13,424.3391418457031
2012-01-16,433.5821228027344
2012-01-17,431.4520568847656
2012-01-18,420.58709716796875
2012-01-19,420.352783203125
2012-01-20,421.89642333984375
2012-01-23,421.1929016113281
2012-01-24,425.49200439453125
2012-01-25,430.3126525878906
2012-01-27,434.5254211425781
2012-01-30,435.7011413574219
2012-01-31,443.7940368652344
2012-02-01,442.34381103515625
2012-02-02,449.9078369140625
2012-02-03,459.1372375488281
