,Date,Close,Trade Signal
0,2011-01-03,1290.61181640625,0
1,2011-01-04,1293.0555419921875,0
2,2011-01-05,1278.30322265625,0
3,2011-01-06,1243.41455078125,0
4,2011-01-07,1213.2322998046875,0
5,2011-01-10,1200.0638427734375,0
6,2011-01-11,1193.2310791015625,0
7,2011-01-12,1192.5068359375,0
8,2011-01-13,1190.6065673828125,0
9,2011-01-14,1149.111083984375,0
10,2011-01-17,1149.020263671875,0
11,2011-01-18,1156.2606201171875,0
12,2011-01-19,1151.825927734375,0
13,2011-01-20,1139.6536865234375,0
14,2011-01-21,1130.06005859375,0
15,2011-01-24,1169.74560546875,0
16,2011-01-25,1165.80859375,0
17,2011-01-27,1149.111083984375,0
18,2011-01-28,1112.59326171875,0
19,2011-01-31,1133.8614501953125,0
20,2011-02-01,1124.403564453125,0
21,2011-02-02,1101.4613037109375,0
22,2011-02-03,1102.502197265625,0
23,2011-02-04,1070.60009765625,0
24,2011-02-07,1076.754150390625,0
25,2011-02-08,1065.0343017578125,0
26,2011-02-09,1044.3995361328125,0
27,2011-02-10,1049.82958984375,0
28,2011-02-11,1069.1519775390625,1
29,2011-02-14,1107.8419189453125,0
30,2011-02-15,1119.2449951171875,0
31,2011-02-16,1111.3260498046875,0
32,2011-02-17,1111.4163818359375,0
33,2011-02-18,1112.0050048828125,0
34,2011-02-21,1092.6827392578125,0
35,2011-02-22,1068.9256591796875,0
36,2011-02-23,1079.242919921875,0
37,2011-02-24,1062.9976806640625,0
38,2011-02-25,1057.6580810546875,0
39,2011-02-28,1093.451904296875,0
40,2011-03-01,1168.1617431640625,0
41,2011-03-03,1196.669921875,0
42,2011-03-04,1187.43896484375,0
43,2011-03-07,1141.1015625,0
44,2011-03-08,1136.84765625,0
45,2011-03-09,1145.7625732421875,0
46,2011-03-10,1150.6494140625,0
47,2011-03-11,1132.05126953125,0
48,2011-03-14,1137.6173095703125,0
49,2011-03-15,1098.836669921875,0
50,2011-03-16,1103.452392578125,-1
51,2011-03-17,1054.4453125,0
52,2011-03-18,1046.3905029296875,0
53,2011-03-21,1021.0498657226562,0
54,2011-03-22,1060.6448974609375,0
55,2011-03-23,1064.2647705078125,0
56,2011-03-24,1056.300537109375,0
57,2011-03-25,1070.01171875,0
58,2011-03-28,1087.569091796875,0
59,2011-03-29,1120.3763427734375,1
60,2011-03-30,1148.4774169921875,0
61,2011-03-31,1142.2783203125,0
62,2011-04-01,1150.378173828125,0
63,2011-04-04,1176.85009765625,0
64,2011-04-05,1186.352783203125,0
65,2011-04-06,1174.2705078125,0
66,2011-04-07,1156.848876953125,0
67,2011-04-08,1134.766357421875,0
68,2011-04-11,1120.0596923828125,0
69,2011-04-13,1156.7581787109375,0
70,2011-04-15,1137.798095703125,0
71,2011-04-18,1142.459228515625,0
72,2011-04-19,1135.5355224609375,0
73,2011-04-20,1144.857177734375,-1
74,2011-04-21,1182.8685302734375,1
75,2011-04-25,1200.47119140625,0
76,2011-04-26,1178.8863525390625,0
77,2011-04-27,1191.73779296875,0
78,2011-04-28,1177.6644287109375,0
79,2011-04-29,1192.5068359375,0
80,2011-05-02,1168.930908203125,0
81,2011-05-03,1152.8216552734375,-1
82,2011-05-04,1126.3946533203125,0
83,2011-05-05,1134.766357421875,0
84,2011-05-06,1152.5501708984375,0
85,2011-05-09,1127.20947265625,0
86,2011-05-10,1123.8609619140625,0
87,2011-05-11,1106.71044921875,0
88,2011-05-12,1103.4072265625,0
89,2011-05-13,1106.348388671875,0
90,2011-05-16,1113.63427734375,0
91,2011-05-17,1095.0809326171875,0
92,2011-05-18,1101.05419921875,0
93,2011-05-19,1096.6646728515625,0
94,2011-05-20,1107.0272216796875,0
95,2011-05-23,1089.4244384765625,0
96,2011-05-24,1090.1033935546875,0
