Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BPCL.NS,BHARTIARTL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,ITC.NS,INDUSINDBK.NS,INFY.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NTPC.NS,NESTLEIND.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SHRIRAMFIN.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,WIPRO.NS
2011-01-21,50.46413448988545,42.54816310177458,60.38811656641575,27.809632007297367,44.66761610906466,38.91727524372659,28.740460094474173,29.781733853901812,30.86529596267644,31.320462854738196,40.05213434652793,42.385273217822935,51.72141061844578,36.44606676198773,44.46011904248722,22.445920535739333,54.213800168395146,68.18698605515073,31.574943508932208,22.408725825759703,45.55080266680897,25.4107159462979,47.162811177170795,38.3254108846262,38.53440343997005,37.47727603964264,36.78724063828128,36.01330173998311,3.8112952706989063,54.07338052774027,6.217259932326158,39.39192388469046,22.379256034332954,10.777164855975698,57.211018139453365,31.990495121403754,37.31268561009293,42.59885271522116,50.574782363507765,65.29197121768506,39.55800013244785,34.72681300546377,23.05303087369967,42.96501168254115,46.456952649655825,41.84327996518878,34.66711347875753
2011-01-24,50.2818843811616,48.26450615655292,78.49584369012092,23.610725999006092,53.27739494630831,37.95037993987739,37.546011294248295,28.75279179376777,38.823404557667956,28.93707342948298,40.32904149303327,36.927884968674014,44.132866134926665,41.735397517941685,39.88969884839058,31.564786637661953,50.91793455784312,72.23030370777167,40.13386510135445,21.55364107054811,43.212775119907235,25.101986092617423,52.05219381818642,38.91508370236816,44.65047431463528,42.347977201351085,40.98123143873598,36.54698613061913,8.366752499630323,64.18776405598183,32.76556119089058,47.73012089278988,34.736220224676174,27.317483079744733,54.339758638139145,28.257582427191338,37.54293498911821,52.93164858830253,50.044359170336364,64.34123233269142,42.81399505104476,35.057707004457114,40.71388510023034,46.381509982143584,51.885866810888075,39.95681789235203,29.01815660489187
2011-01-25,43.60509394526327,43.876511373352855,63.702441851611766,21.848926388385337,47.415799741886055,35.85431866239726,30.589171571775864,30.308570076198393,54.952766686734584,37.06652413736828,40.87526879212563,32.53900737356395,43.30062272466516,45.10916065120872,28.49532108535962,39.07827046204438,45.49994435158478,72.35524988653626,34.6257726689538,31.119993041490176,46.94007236646445,13.643960794346143,41.647907766679204,36.829534732212586,40.12447934526533,40.27743066120158,38.431908379136885,31.840277541542562,12.11060516643603,52.39909945672492,31.80373018805153,55.94854719563472,31.50354942824343,26.075783001681643,52.91018226988343,25.496300029780713,38.46218411245777,51.202314496840806,41.42719853136646,56.830146409195805,42.60804280211411,30.880446679221592,44.92881327651244,44.54770004305774,54.20283533325539,42.35268963371837,31.989487956317916
2011-01-27,40.73850435068222,40.13409833414282,60.10021153204009,21.90854118150392,47.79495563266249,34.55783752733005,28.015268854774334,26.312249330546138,57.29623197994979,28.06834971706712,39.642696784532234,26.41019391083495,40.215719164136146,35.92965261935005,25.26438520092522,30.21479760903769,43.318309430825515,69.51639408127107,32.15694975746021,25.51947104005872,44.71216615874389,10.159123720009006,37.51381423850105,36.44707923068198,34.78179680775379,35.57575791742218,32.128571839159235,26.618697138854913,10.816311628049235,38.30874043882788,28.043539759509628,52.66962876498154,25.10192077992535,23.608715214995883,56.218429030421014,22.624646041749926,37.31400754549689,48.74986278307465,34.36311410367759,59.967143133610726,43.48644361037611,41.01242298231882,42.15125631936076,36.74803489836632,51.24347093167553,36.93816411555805,29.23177671383253
2011-01-28,30.773028110329733,43.629189674951824,54.18654747161682,20.176278393773927,39.77398684249674,30.824892601650745,23.631981741762885,25.885411568138608,55.0179680952117,30.47186078266398,37.58864758296816,28.864623223723427,35.07154317937194,38.5322765311086,28.2992098964406,27.186583817285793,35.484625769298404,59.13963184648873,32.675470001026866,20.300737888203074,36.545348154483904,12.835023898880365,38.65547160839745,37.66703695169797,31.881045285888263,33.638290584343025,26.12706350627498,22.636543865760984,8.975322360142357,30.081978935879008,21.935471286911223,46.044163200590354,21.8196058862692,31.603020807133305,39.43561997430162,18.423945925578963,30.715526730386657,45.54536598750192,28.885458381770476,54.02787547399706,25.285880051302314,33.05076942005809,36.324181650764224,29.81360965756447,43.50947650936956,35.09796157548769,28.782866666558206
2011-01-31,28.138330652501125,46.25730660946746,58.55411216924398,20.045925022233888,38.063660828834365,28.88764409426588,22.848275090127686,23.005075170118474,46.00267912311925,25.70285893074015,46.24033546341843,27.12283117179952,34.06095451725325,50.68274380927518,45.80785441386063,24.41639090893932,32.87182238322359,57.22472169535767,32.12688160267041,18.825977180542566,43.72830639163236,12.576831996002056,39.56903038783237,28.368100887255963,39.14001628975752,30.499382381729404,28.101821153597626,27.834247777390075,21.721041761552655,36.451269406369825,31.318083825803612,40.46599945942333,15.487730896104196,45.92825152586632,39.43561997430162,21.74317161970309,27.67945332977773,48.001215812921046,26.072597004399768,47.84976667068623,24.691233876273415,32.56501759357134,37.96680692597505,28.65465818491066,53.745032764863986,37.46347117795827,29.339348434800925
2011-02-01,29.02127325643056,43.945835450045536,56.71038720480487,14.425109832044726,38.17771010222284,28.9367323351847,18.53694134771017,29.788044082675313,35.52709196907699,24.742460731520964,44.79532593861631,25.362906263773695,43.886796475504205,43.975243643046745,43.04086882881725,22.6694665129574,30.30684277326796,52.75234349293213,31.496020678808023,17.518637522457595,44.00806158639716,12.085915851081623,34.818163987219535,24.803555593914126,36.49111836873586,28.86098122689137,27.565524628028882,25.12352185885912,16.979059648421767,34.78370988337865,29.613642379690845,34.55806690289144,13.303765940739993,45.6872184447656,34.638744891271244,18.6551055005351,25.197853024355837,43.4188214374298,23.65435706640052,45.45453666563548,22.794318338697693,23.600120995379754,34.57315619882283,24.480300273888304,53.43959793626814,35.555217197751716,25.57342687077424
2011-02-02,37.50915723272072,38.403472575601,53.76757827003822,14.306980345576122,35.430648970272955,24.997975220760438,16.366547350042254,25.60667452995567,41.346944991997866,32.848926528937696,38.732562106813965,23.535479290063392,52.066091047519386,45.854273025167906,44.03046026867797,40.06903510328348,28.41239675427242,60.13875951630153,29.879350269214257,13.603528501781213,49.325506132918896,22.795405719345325,39.65140423190419,24.149996225001985,40.34226504873443,28.868162779831238,34.28553170115909,23.843752806231237,16.666074240083546,33.63151989130064,25.927223313457716,28.634265963968545,15.681345154646081,47.06891118370797,34.14173360968269,30.224099251745244,22.690081848372827,41.6222404960647,26.949678129568298,54.0179575663522,21.33603242160173,34.80125126701236,32.41440830538164,29.014871670541154,48.75710653343124,37.47491094714343,34.384473034990876
2011-02-03,47.585931825141984,43.23817091992765,45.34021187488664,13.627574841387656,43.25107443260734,24.462348542879155,40.6614256031329,29.759052862502443,42.18045936037222,50.10983499314594,41.462885661255356,29.62058223875613,59.421567591824235,49.47153125913568,41.52683149786582,41.464315376847665,40.3031559143801,55.29638000079061,37.121960998702235,22.345209156267188,58.96172492238033,30.775931654725397,43.86405448566807,25.730763451082126,41.04599162014213,33.01887363783342,33.88173682988645,29.32515318814744,32.065921198676506,35.85435282828064,26.37507737320361,33.65556906602964,15.517638097585845,50.89600760810932,55.46979629146754,38.478170243898866,27.404744671808857,50.15644325211897,27.62245962656769,54.31678826719073,19.497878878746477,43.23794641755411,40.96680115569094,34.66848371968695,53.211788177932796,40.259998634463734,38.22945413931547
2011-02-04,45.39214760265447,37.42440231058732,39.74902426134548,18.06016377650836,37.91814370333752,30.302868621036623,38.69852503751731,31.808573475521527,39.93925296598688,44.78616319158708,37.75416887859315,26.635568490808794,45.23997328757639,61.932012533655055,38.05375161816576,39.64779636577502,41.208707625700434,48.87887535864039,33.23185821018953,20.870736953517735,50.26871643935232,26.6794885663914,38.16304130772524,19.46831450070195,38.89514474183936,28.600179658499727,30.66874695254009,23.707653526461783,26.478085582533524,28.554218140986777,21.98766303180976,30.924430767612193,15.400275001859796,49.85521463805741,48.15593409541323,33.90978284329029,30.080846949701893,49.56119848329872,21.34595490249245,45.43614238689585,18.50720337991652,42.41152058078905,39.95595068653053,30.26173625671416,47.17522377856568,41.064056215777356,35.37818796372295
