,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31
ADANIPORTS.NS,-0.031023564678717808,-0.037625889782927024,-0.053555837364123504,-0.031428472788958106,0.09035012250844976,0.0767206971447767,-0.04796266657440951,-0.0020340995524502636,0.041369436703003304,0.11516995277054898,-0.12409346541459298,-0.1667781717504223
APOLLOHOSP.NS,0.05605659328538537,0.004425738706410609,0.03205053695839766,0.026536315765215646,0.0847229584400313,0.04651861276271885,0.15403168667060418,0.1819062603062882,0.17322215005877295,0.18358245016748675,0.3745918111233175,0.2781430608107658
ASIANPAINT.NS,-0.10333801878034599,-0.13476567791921035,-0.13715671884074332,-0.050189291065975694,0.08495369302606903,0.09840056874173819,0.03875675386511923,0.11263795947114619,0.07762243376749,0.09140381142561282,0.002994838161683111,-0.07007593787206812
AXISBANK.NS,-0.09172664790102836,-0.10934170048185565,-0.029833682099147052,-0.11332552423751396,-0.10912292754719488,-0.09102307978807989,-0.07133874815077079,-0.26369436806995294,-0.3056073684989671,-0.18559024431712345,-0.32059044018373706,-0.4355019021953158
BAJAJ-AUTO.NS,-0.1561463130674856,-0.14053690140892872,-0.05832313462379557,-0.048609114842700585,-0.11204398544858973,-0.037394530356245625,-0.0059762499765347865,0.052305055190348115,-0.007255141180201208,0.13020687229331207,0.10085499124694253,0.02820133218782228
BAJFINANCE.NS,-0.1664421529489164,-0.08730322157468662,0.03407917911117253,0.03422679977334142,-0.07724593505285338,-0.09434458565925119,0.022144739601259955,-0.11444831591155669,-0.10621035430930259,-0.041043125073287334,-0.12521204734972036,-0.1678393496802424
BAJAJFINSV.NS,-0.13095225744441108,-0.09148808309646217,0.07804195279739146,0.08792287554036471,0.08124845322079577,0.06971713067455321,0.11217353661071905,0.13532388474279156,0.08742228681415076,0.14879449528992517,-0.09689645542031822,-0.11036788616912607
BPCL.NS,-0.07114188083475725,-0.11442459187284681,-0.0727487992417869,-0.03655547889569988,-0.037164038666773314,-0.010221966767031687,0.009262022863232744,0.038987146215192725,0.006739762562085305,-0.07763067065626916,-0.2111467836272658,-0.28363747151167173
BHARTIARTL.NS,-0.11228600722784954,-0.0725336195123083,-0.01813840755814944,0.050257634143307195,0.024117586401327218,0.05981127745354864,0.20850819485669847,0.11082208686200157,0.02763277017089094,0.05690129104247332,0.03426578016220172,-0.06285878996106342
BRITANNIA.NS,-0.0758520562104037,-0.17363503488323162,-0.10282422962169024,-0.10957543567724048,0.026380566207008682,0.1678537907822102,0.1700909813648901,0.19663931365558396,0.17182119911838423,0.1913790344483488,0.17719875339537894,0.1271961002849502
CIPLA.NS,-0.10832231689385474,-0.18786852566196355,-0.1460539420850795,-0.1736865720465317,-0.1444285031657644,-0.13449394529833703,-0.18824060844116774,-0.2526267485578112,-0.2484865252973727,-0.21928210621687505,-0.1137906212829104,-0.1406537246380939
COALINDIA.NS,-0.04081298076965867,0.031378145090583454,0.05544149487131844,0.157821432633513,0.24548892998457084,0.18057754540320348,0.19286694334054233,0.14369070864692923,-0.01721561301721064,-0.031222493508444416,-0.038132133930154244,-0.1250059475953128
DIVISLAB.NS,-0.02712435123475887,-0.07995473367763228,0.02379784811469432,0.044260576517723305,0.1294203064509587,0.16410576233382135,0.20700101453663167,0.06693919151377181,0.07343368542186668,0.1365292280942738,0.11800047717186235,0.14414945961551773
DRREDDY.NS,-0.0276863595183644,-0.06596030737656366,-0.032429767625084205,-0.004919967561793359,-0.050125496877259756,-0.08985850927458727,-0.054601010576530995,-0.11632816903406473,-0.13080358078295062,-0.005501555159702187,-0.025576822503176944,-0.005471336172713781
EICHERMOT.NS,-0.18203975480733026,-0.1372378572573527,0.06850436173169983,-0.002689119551960273,0.09595440274054878,0.0538554457080036,0.06833962040148722,0.058184733601072125,0.26873931144888785,0.3180378390150671,0.25986594671304486,0.17841426061620713
GRASIM.NS,-0.031747739536541864,-0.03307685334194288,0.03581118109370007,0.0037042502936543986,-0.06448634777110018,-0.1583188230415321,-0.13121882057162104,-0.13625884676807287,-0.054564266549519846,0.02281316714436077,-0.03871438394035265,-0.015210038266575632
HCLTECH.NS,0.08493386197578312,-0.009330484224436275,0.010112860358358455,0.13134438108170188,0.11895513448897543,0.07621118781157432,0.055823679618740796,-0.10275082993725293,-0.075290934962853,0.02879920777392364,-0.08152315920220599,-0.11041564814601135
HDFCBANK.NS,-0.14356850012946343,-0.13825682924547467,-0.054922747248665194,-0.07039230704126576,-0.025985205093925212,0.028753771468707834,0.0010940623317587939,-0.03183110339801687,-0.04237702206603078,0.028912051568123598,-0.055994999074734375,-0.11146964442393703
HEROMOTOCO.NS,-0.17794229576330833,-0.25203895296284196,-0.20310582089187101,-0.11470658992676963,-0.02797241790904703,-0.02074736353285589,-0.07957898308575606,0.07151243965193688,0.0037916379961626667,0.11732457844932487,0.04536641020297205,-0.04631540055413985
HINDALCO.NS,-0.06684280324945102,-0.18272631551387974,-0.1954211416292736,-0.18866157930643312,-0.2495070476533504,-0.3132210974369085,-0.3813481935302109,-0.44624675275200165,-0.5242916666299644,-0.47823683297333786,-0.5277822416135844,-0.5831891752431246
HINDUNILVR.NS,-0.134121063001841,-0.0944637232711597,-0.09556626865365792,-0.09158496825552409,-0.01562803657766698,0.08964234152580564,0.059430286662909504,0.0510649661191831,0.11872732029103195,0.2581706814632021,0.29940748663636385,0.355295585847337
