Date,UNH UN Equity,GS UN Equity,MSFT UQ Equity,HD UN Equity,CAT UN Equity,AMGN UQ Equity,MCD UN Equity,V UN Equity,CRM UN Equity,BA UN Equity,HON UQ Equity,AAPL UQ Equity,CVX UN Equity,TRV UN Equity,WMT UN Equity,JNJ UN Equity,AXP UN Equity,PG UN Equity,JPM UN Equity,IBM UN Equity,MRK UN Equity,NKE UN Equity,MMM UN Equity,DIS UN Equity,KO UN Equity,CSCO UQ Equity,DOW UN Equity,INTC UQ Equity,VZ UN Equity,WBA UQ Equity
18-01-2005,44.4,105,26.32,42.16,46.265,64.16,31.6,#N/A N/A,3.7625,51.88,#N/A N/A,1.262,53.09,37.94,54.49,63.03,46.5247,55.99,38.4,90.6451,29.8454,11.0875,82.02,28.3579,20.625,18.75,#N/A N/A,22.95,33.7743,#N/A N/A
19-01-2005,44.14,104.06,25.98,41.8,45.755,63.48,31.62,#N/A N/A,3.7475,51.41,#N/A N/A,1.248,52.69,37,53.78,62.82,46.446,56.68,37.84,88.9258,29.5784,11.0688,82.17,28.1211,20.55,18.15,#N/A N/A,22.6,32.851,#N/A N/A
20-01-2005,43.315,103.4,25.86,41.15,45.04,62.56,31.45,#N/A N/A,3.6525,50.9,#N/A N/A,1.258,51.96,36.46,53.37,62.49,45.8682,56.7,37.25,88.8303,29.3019,10.85,82.95,28.1408,20.665,18.3,#N/A N/A,22.52,32.5104,#N/A N/A
21-01-2005,44.425,103.33,25.65,40.9,44.615,62.51,31.25,#N/A N/A,3.6125,50.07,#N/A N/A,1.259,51.98,36.2,53.01,61.85,45.4568,55.65,36.85,88.2381,28.949,10.7875,81.27,27.7757,20.455,18.01,#N/A N/A,22.41,32.7166,#N/A N/A
24-01-2005,44.125,103.24,25.65,40.39,44.06,62.12,31.74,#N/A N/A,3.475,49.64,#N/A N/A,1.264,52.57,36.97,53.07,61.49,46.0433,55.21,36.88,87.6745,28.4628,10.7888,81.62,27.5784,20.48,17.7,#N/A N/A,21.96,33.0303,#N/A N/A
25-01-2005,43.875,102.86,26,40.57,45.25,62.17,31.94,#N/A N/A,3.4325,49.84,#N/A N/A,1.287,53.04,36.95,53.28,63.68,46.7786,55.73,36.86,88.0566,29.5116,10.7363,82.82,28.4171,20.62,17.51,#N/A N/A,22.26,32.2684,#N/A N/A
26-01-2005,43.9,103.26,26.01,40.73,45.56,63.56,31.99,#N/A N/A,3.45,49.86,#N/A N/A,1.29,53.54,37.49,53.28,64.65,46.481,55.44,36.83,87.8273,29.7214,10.6438,83.42,28.2,20.84,17.69,#N/A N/A,22.43,32.7345,#N/A N/A
27-01-2005,44.23,104,26.11,40.66,43.26,61.58,32.12,#N/A N/A,3.405,50.97,#N/A N/A,1.297,54.06,37.37,53.08,64.22,46.2009,55.32,36.75,87.856,29.7309,10.8063,82.89,27.9238,20.88,18.18,#N/A N/A,22.31,32.1519,#N/A N/A
28-01-2005,44.075,106.12,26.2,40.41,43.73,61.27,32,#N/A N/A,3.365,49.92,#N/A N/A,1.321,53.72,36.9,52.43,64.62,46.2184,54.15,37,88.7252,26.7178,10.8113,83.25,27.8547,20.745,17.9,#N/A N/A,22.24,31.9816,#N/A N/A
31-01-2005,44.45,107.85,26.28,41.26,44.55,62.24,32.39,#N/A N/A,3.425,50.6,#N/A N/A,1.373,54.4,37.54,52.4,64.7,46.6998,53.23,37.33,89.2314,26.7464,10.8288,84.36,28.2494,20.745,18.04,#N/A N/A,22.45,31.9009,#N/A N/A
01-02-2005,45.34,108.4,26.39,41.14,45.06,62.53,31.98,#N/A N/A,3.425,51.04,#N/A N/A,1.384,55.15,38.45,52.61,65.42,49.676,52.87,37.5,89.6517,26.5366,10.8837,84.08,28.4171,20.71,18.13,#N/A N/A,22.63,32.1609,#N/A N/A
02-02-2005,45,108.59,26.46,41.3,45.505,62.65,31.77,#N/A N/A,3.325,52.23,#N/A N/A,1.422,55.53,37.97,53.06,66,48.8182,53.4,37.52,90.072,27.1373,10.8375,83.34,28.4467,20.96,18.14,#N/A N/A,22.59,32.1609,#N/A N/A
03-02-2005,45.28,108.74,26.17,41.57,45.9,62.14,32.06,#N/A N/A,3.3425,52,#N/A N/A,1.389,56.24,38.4,53.42,65.65,48.503,53.24,37.39,89.346,27.0897,10.825,83.34,28.4171,20.87,17.52,#N/A N/A,22.38,32.1788,#N/A N/A
04-02-2005,45.885,110.02,26.32,42.42,45.95,62.75,32.57,#N/A N/A,3.515,52.58,#N/A N/A,1.408,56.74,38.67,53.46,66.24,48.8619,52.62,37.69,90.2725,27.0325,10.88,84.08,28.9203,21.235,17.9,#N/A N/A,23.01,33.0303,#N/A N/A
