,1 month return,2 month return,3 month return,4 month return,5 month return,6 month return,7 month return,8 month return,9 month return,10 month return,11 month return,12 month return,13 month return,14 month return,15 month return,16 month return,17 month return,18 month return,19 month return,20 month return,21 month return,22 month return,23 month return,24 month return,25 month return,26 month return,27 month return,28 month return,29 month return,30 month return,31 month return,32 month return,33 month return,34 month return,35 month return,36 month return,37 month return,38 month return,39 month return,40 month return,41 month return,42 month return,43 month return,44 month return,45 month return,46 month return,47 month return,48 month return
M&M.NS,-1.384424241003524,-0.9960660539115478,-0.7387675235805259,-1.1257480773734212,-0.9889504596967176,-0.8978076344410275,-0.8178202788266715,-0.511665856477925,-0.23309303414348925,-0.877350651081852,-1.0768567178317365,-1.113632495636117,-0.9479129788817675,-0.9922738289155018,-0.9469945566823805,-1.2110872956821728,-0.9598658455749403,-0.9332008010482277,-0.6418270026318902,-0.16688356711309266,-0.07451431221309888,0.2180286700193958,0.14623742362612718,-0.05206430290227187,-0.12479139413827688,-0.18278515147381838,0.11092639233757164,0.3141394375785457,0.32840360458311607,0.05391701435123704,-0.5457688141214185,-0.33893248130115566,-0.05628711608393696,0.2123196431363524,0.20740645771198973,-0.045290005825897844,0.3491972183012829,0.37821058625650894,0.8157488509799518,1.5705627846440402,1.1573567969503584,1.4144615003741243,2.376737115307246,2.15951782040699,1.9039077308876462,1.986068561259765,1.5680134785797528,1.7115013913023984
MARUTI.NS,-0.6724219480312863,-0.5971226696332749,-0.5196610967757588,-0.6417859290989809,-0.7398346687249586,-0.6745857485290709,-0.8253022469478417,-0.8373136552443988,-0.777889996985451,-0.9930369779227024,-1.0686861278384738,-0.691634290105532,-0.5959665969991275,-0.46152632490171436,-0.431533196059885,-0.8130803698017522,-0.7154460730847595,-0.7644743962482313,-0.7423725314803643,-0.449300682659927,-0.3258789631234425,-0.2750541245475507,-0.25215104741509586,-0.12272192943726866,-0.4439986748976516,-0.5474154997154093,0.001689445503500893,-0.08879145176899439,-0.18471498312809484,-0.48365473359425487,-0.5903936906013636,-0.4268633478653462,-0.03204449416932494,0.024764587509365388,0.14954550659291824,-0.031973145605843536,-0.09916259612460934,0.4451085309821026,0.375786153750278,0.8717812238140283,1.1100376091279982,1.230480761457598,1.6180544415014768,2.015589435234215,2.4074835625918354,2.4202653094682556,2.396843778658152,2.8503638628760184
NESTLEIND.NS,-1.8372146704249122,-1.6470413333809195,-1.2362424358474757,-1.150344811290101,-1.0872117634773681,-0.7612073672609828,-0.723692052828517,-0.9009239932810893,-0.911597098412273,-0.9391505439135767,-1.0699992999811316,-0.8862143147709486,-0.6554909338509086,-0.35536340004725564,-0.2984978076007221,-0.5191023822882488,-0.474902633729599,-0.5537686460028564,-0.32480122924823224,-0.6307263189401985,-0.23984750956439585,-0.15161726750175308,0.16772413660345833,-0.15697777125432333,-0.11862849930188415,-0.3476903521651693,0.17106407260112547,0.5944827365008364,0.0030293879487106076,0.6067247584324538,0.08137166760001428,0.5088182368300609,1.008484249893263,0.43215892725052135,0.6236917792887834,0.30212359911410147,0.05951906081293595,0.2776842641332284,-0.06759422251197786,0.2223748145207384,0.18064910952380708,0.44582707128686516,1.6478057564231392,1.580328191398855,1.9662123799165172,1.89513803092753,2.1477778884665923,3.1228585394032775
NTPC.NS,0.5582443803012456,2.142048006911344,1.4063458358212815,0.4492542355019679,1.7196974215126075,0.9839991859372684,0.520779263996166,0.4630600211579211,1.2570353587838021,0.10029312869848525,-0.0023755955734639377,1.0196765946784367,1.6380286038142486,0.35940249881126857,0.34193471670353387,-0.7550290124635829,0.12882757821344154,-0.04235058639452943,0.7297147568775649,0.7681539130771279,0.5754366763782192,0.3687040878642445,-0.0482577939970325,-0.0027051949316964073,-0.4371919238642241,-0.8108838052007723,0.29581933903249646,0.06944853203984835,-0.6815293394560237,-1.6193575790742358,-1.6049850792978595,-0.3127568515259559,-0.19303160643505557,-0.32726807819639464,-1.0710252640502333,-1.5410506748298638,-2.5933768121052485,-2.031635214533861,-2.297525476518137,1.0092543678074686,0.6871895525145775,-0.14793454319915939,-0.5901693167468955,-0.46122020901884137,0.37313154193007897,-0.1881623908413207,-0.08955413388708174,-0.11610311622318054
POWERGRID.NS,-1.039773969879772,-0.8659262579097002,-0.7097532250615828,-0.9160165119073839,-0.4180387579346192,-0.6773415061990435,-0.9661093365805273,-0.9936168493351604,-0.6115334997729671,-0.9548112179359213,-0.8951098510639438,-0.6563108102646809,-0.0743253102812774,-0.36604491875915907,-0.17958290230920493,-0.48634353290076,-0.041242645123803545,0.28356091384928217,0.31363460338138605,0.4542094202099774,0.05906832465113453,0.2961520822500303,0.10465989659465277,-0.17193835616144604,-0.43253415418200963,-0.33993713879223847,0.055141617886712214,0.1230466528188951,-0.0004138921379185878,-0.6300744965247825,-0.8430472463199408,-0.7458827833074596,-0.5428534061897399,-0.9301706509875236,-0.6303122840047896,-0.9051836855209536,-0.9676543125317032,-0.22254981460854964,-0.1718946546786355,0.8538845446105575,1.9429833364810067,1.5567342073366564,1.3097861253307042,1.7782223195914884,2.4529038059698554,2.2546571705445784,1.9540873691284215,2.5935955885318562
RELIANCE.NS,0.7871355554302334,1.636986272627414,0.9824444232194506,0.7509392830552105,0.2116576508473319,-0.5014878988642026,-0.9599036265643852,-0.699613069594906,-0.00011188154279282586,-1.0038752956949852,-1.866117449459756,-0.6111636711103342,-0.574267953858499,-1.283370208344649,-1.3389664438654012,-1.6440155454518968,-1.3137138164379574,-1.2548226324350191,-1.0213065882499452,-0.29617785846141914,-0.6208477225297555,-0.7417020168695974,-0.2721092489504436,0.21028469390163623,-0.535326508529466,-0.9547318837252496,-0.7980332622609008,-0.5130391124547784,0.07053575570206631,0.16848915782527016,-0.020160905824213367,-0.34615556590922303,0.6105768487136857,-0.02690047213722354,0.408450616187659,-0.25545816344557526,-0.5788602836746896,0.7769432209753261,0.8292874823813269,2.274290955071223,1.7582317818983484,1.66454617902349,1.583420946436467,1.0286300132101263,1.6027846036510915,1.5091004826509722,0.45761551534111733,0.7098876480978208
SBIN.NS,0.8313724038100512,1.1378173130960252,1.2271252384009474,0.14411122169179838,0.3897594567870327,0.25197095557250415,-0.6021576258666775,-0.7466229847562703,-0.7575583958186684,-1.0887347798432645,-1.4188747477445474,-0.4000220547110562,0.0280786521318482,-0.3200190565480014,-0.22390056828211796,-0.3265117692185363,-0.08517613006631296,-0.4459482191556709,-0.8391874744347545,0.10611089843122248,-0.19945571924619623,-0.058686070534444,0.44578597473003295,0.5688564863000142,-0.26825829766642384,-0.2873637422014748,0.16166784661267541,-0.2544153971086124,-0.47657393530010994,-1.0630977920606348,-1.5158987490544362,-1.286570565143147,-0.8519351125308477,-0.7976799894683652,-0.9242352450914324,-1.504187126766428,-1.4817202352682797,-0.5218619972725127,-0.13385926548089883,1.0196442580160467,1.3689000786482886,0.7698291417205165,0.8218537083368407,0.7854730604856605,1.409040487113666,2.648900812060354,2.417275219059959,2.346939833634647
SUNPHARMA.NS,-1.2003761311680137,-1.1562357834585972,-1.1022219726005764,-1.0750405456487206,-1.0275315645229863,-0.9803710840897083,-1.0421676638577317,-1.102067479407878,-1.003911306385571,-0.9546576523846205,-1.0198224006947607,-0.9008416454989963,-0.89639558864353,-0.8506518898159094,-0.7730863897650756,-0.8576711803303007,-0.6965736748207535,-0.6549248203899726,-0.6104879604195447,-0.5465627991655629,-0.5498589122065718,-0.5128936653478133,-0.4507344062242127,-0.4937042781753077,-0.29557179467689765,-0.25601611381378847,0.05501478831749966,0.2741011664961944,0.19746247064348346,0.4777665827313003,0.27009952937659404,0.6223929754778836,0.6957166534054241,0.5216318023929372,0.5001081269006649,0.6006328339755235,0.8655435666556599,0.5346417717736442,0.8092500901964539,0.7044677552754786,1.0701393511244268,1.5573873272687317,1.8615607151074702,1.8781127159813555,1.8219587017823595,1.7949467214766581,1.732631264621623,2.1648117925320274
TATAMOTORS.NS,-0.9546082772675516,-0.6723807099208708,-0.6919797522976573,-0.933219635485452,-1.105521789851881,-1.151603385991348,-1.5093942020810704,-1.443416797216014,-1.074846978656943,-1.2978143359659398,-1.2465274885344413,-0.6810682228120672,-0.4446268700733565,-0.40724871222411246,-0.048241195648814995,-0.7745148637707542,-0.6923688859608097,-0.7977379730389009,-0.7265003396347415,-0.4322585127812289,-0.5455306137463304,-0.3800472997975776,-0.0331516723492263,-0.16279494503117004,-0.25527082905793297,-0.4180998636751337,-0.14509614896249395,-0.02739941822108879,-0.31057960139297663,-0.2116623781463147,-0.13370325698113172,0.16254212355156286,0.5959952028217491,0.7523593563248391,0.5536749089687262,0.3144510428158732,0.9149604500133733,0.7519139990790379,0.8953589149654363,0.8980321662940888,1.0428134308813513,1.1974770287319425,1.8980826926309406,1.6931801386047525,1.9947180139197935,1.973690394009523,1.6341251584919037,2.435839934470444
TATASTEEL.NS,1.6525094534212763,1.8080805949866547,1.7488398513814802,1.4655159734542131,1.6844476375117476,1.3260717051774809,0.32268896087477633,-0.23655792311403454,0.4724844938252818,-0.5534985213854702,-1.0775290393981192,0.13609692063956355,0.36473620669710716,0.3563272233075294,0.27117833375948686,-0.35954956678961925,0.037809685929904746,-0.11942980306348938,-0.6933020185448014,-0.2660085781916999,-0.360121305465003,-0.42502674503977494,0.03255749184575529,-0.22273779995967496,-0.9085718186524117,-1.2184955182316648,-1.3277526248886142,-1.4467464644760906,-1.6414627832004105,-2.1961196012197144,-1.5456421176335864,-1.5729775724997763,-0.8661554462311063,-0.13311310484441136,0.13020224831887015,-0.6301755479340152,-0.7668542778114885,-0.20730988011277834,-0.13255504830637102,0.6981145829951281,1.2928048982181468,1.6972645980004408,1.2390486539226582,0.62316092353328,0.9755033244082807,0.7859562336161331,-0.05590946156278536,-0.157797427268278
